age,longline_selectivity,purse_seine_selectivity
1,6.22628e-07,1
2,8.96147e-06,1
3,0.000128968,0.85
4,0.00185305,0.55
5,0.0260252,0.25
6,0.277766,0.1
7,0.846989,0.04
8,0.987604,0.02
9,0.999129,0.01
10,0.999939,0.005
