year,rec_dev,recruitment_multiplier
2001,0.0390756717153,1.03984916784
2002,0.0418174134963,1.04270407768
2003,0.0429459986209,1.04388152229
2004,0.0437205823685,1.04469040918
2005,0.0453881198434,1.04643392287
2006,0.0482960921478,1.04948135251
2007,0.0530886198936,1.0545230927
2008,0.0608316374083,1.06271997683
2009,0.0724916988639,1.07518388081
2010,0.0892516316776,1.09335574465
2011,0.116738127703,1.12382509249
2012,0.105805462179,1.11160560614
2013,0.0391032809879,1.03987787772
2014,0.0125273324667,1.01260612819
2015,0.017473061308,1.01762660825
2016,0.0138604052882,1.01395690604
2017,0.0117142519742,1.01178313252
2018,-0.00703770034222,0.992987006278
2019,-0.0117195562559,0.988348850251
2020,0,1
