year,rec_dev
2001,0.0390757
2002,0.0418174
2003,0.042946
2004,0.0437206
2005,0.0453881
2006,0.0482961
2007,0.0530886
2008,0.0608316
2009,0.0724917
2010,0.0892516
2011,0.116738
2012,0.105805
2013,0.0391033
2014,0.0125273
2015,0.0174731
2016,0.0138604
2017,0.0117143
2018,-0.0070377
2019,-0.0117196
2020,0
