year,log_rec_dev,rec_multiplier
1,0.168402684612,1.18341305694
2,0.187158721298,1.20581865896
3,0.192949837664,1.21282195401
4,0.191380307526,1.21091988647
5,0.187114061003,1.20576480795
6,0.182955328043,1.20076076655
7,0.181097634196,1.19853219131
8,0.18230634941,1.19998175128
9,0.18541714419,1.20372046041
10,0.188169236034,1.20703777235
11,0.187139297289,1.20579523736
12,0.164160973072,1.17840399114
13,0.137467312191,1.14736420054
14,0.107320026871,1.11329048034
15,0.0762872820294,1.07927258524
16,0.0487140916517,1.04992012689
17,0.0290537840381,1.02947996258
18,0.017930395451,1.01809211008
19,0.0104651482511,1.01052009944
20,0,1
