parameter_index,parameter_name,base_log_slope,base_slope,base_objective,step_index,multiplier,log_sel_slope_longline,sel_slope_longline,objective,delta_objective,status,message
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,0,0.4,-0.874145028387535,0.41721857727324,1812.7781000947,21.5536894134814,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,1,0.5,-0.651001477073325,0.52152322159155,1804.48412205769,13.2597113764671,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,2,0.6,-0.46867992027937,0.62582786590986,1798.88457528272,7.66016460149899,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,3,0.7,-0.314529240452112,0.730132510228169,1795.16695147043,3.94254078920676,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,4,0.75,-0.245536368965161,0.782284832387324,1793.85408550983,2.62967482861063,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,5,0.8,-0.180997847827589,0.834437154546479,1792.84483788781,1.62042720658792,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,6,0.85,-0.120373226011155,0.886589476705634,1792.1041570081,0.879746326873374,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,7,0.9,-0.063214812171206,0.938741798864789,1791.60290847729,0.378497796068132,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,8,0.95,-0.00914759090093028,0.990894121023944,1791.3165958401,0.0921851588784648,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,9,0.975,0.0168278955023305,1.01697028210352,1791.24741467481,0.0230039935884179,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,10,1,0.0421457034866203,1.0430464431831,1791.22441068122,0,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,11,1.025,0.0668383160769918,1.06912260426268,1791.24544152531,0.0210308440903191,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,12,1.05,0.0909358676560524,1.09519876534225,1791.30851521461,0.0841045333859256,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,13,1.1,0.137455883290945,1.14735108750141,1791.5534921776,0.329081496374783,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,14,1.15,0.181907645861779,1.19950340966056,1791.94591722207,0.721506540852033,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,15,1.2,0.224467260280575,1.25165573181972,1792.47402240226,1.24961172103531,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,16,1.3,0.304509967954111,1.35596037613803,1793.89692905378,2.67251837255867,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,17,1.4,0.378617940107833,1.46026502045634,1795.75223992264,4.52782924141775,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,18,1.6,0.512149332732356,1.66887430909296,1800.54610169144,9.321691010216,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,19,1.8,0.629932368388739,1.87748359772958,1806.51715881804,15.2927481368215,ok,"ok"
5,init_log_number_dev_age_1,0.0421457034866202,1.0430464431831,1791.22441068122,20,2,0.735292884046566,2.0860928863662,1813.42890498608,22.2044943048602,ok,"ok"
