age,longline_selectivity,purse_seine_selectivity
1,0.5,1
2,0.500054,1
3,0.500108,0.85
4,0.500162,0.55
5,0.500216,0.25
6,0.500269,0.1
7,0.500323,0.04
8,0.500377,0.02
9,0.500431,0.01
10,0.500485,0.005
