Longline Selectivity Slope Geometry Scan
=======================================

parameter_index:       5
parameter_name:        logit_sel_longline_age_3
base_log_slope:        -6.5080982653107
base_slope:            0.00149131310990419
base_objective:        1749.08954065632

Interpretation
--------------
This scan holds all fixed effects at the Level 6 fit except longline
log-selectivity-slope. For each slope multiplier, random effects are
re-solved and the profiled Laplace objective is evaluated. Failed rows
mark local Huu/Laplace stability boundaries.

Rows
----
step_index,multiplier,log_sel_slope_longline,sel_slope_longline,objective,delta_objective,status,message
0,0.4,-7.42438899718485,0.000596525243961674,1750.48157815466,1.39203749834064,ok,ok
1,0.5,-7.20124544587064,0.000745656554952093,1749.92311914033,0.833578484010786,ok,ok
2,0.6,-7.01892388907669,0.000894787865942511,1749.56028160038,0.470740944056843,ok,ok
3,0.7,-6.86477320924943,0.00104391917693293,1749.32707484995,0.237534193632655,ok,ok
4,0.75,-6.79578033776248,0.00111848483242814,1749.24653802882,0.156997372497017,ok,ok
5,0.8,-6.73124181662491,0.00119305048792335,1749.18543638549,0.0958957291711613,ok,ok
6,0.85,-6.67061719480847,0.00126761614341856,1749.14115048109,0.0516098247694572,ok,ok
7,0.9,-6.61345878096852,0.00134218179891377,1749.11153865306,0.0219979967391737,ok,ok
8,0.95,-6.55939155969825,0.00141674745440898,1749.09482911473,0.00528845840858594,ok,ok
9,0.975,-6.53341607329499,0.00145403028215658,1749.09084020547,0.00129954914473274,ok,ok
10,1,-6.5080982653107,0.00149131310990419,1749.08954065632,0,ok,ok
11,1.025,-6.48340565272033,0.00152859593765179,1749.09078100474,0.00124034842133369,ok,ok
12,1.05,-6.45930810114127,0.0015658787653994,1749.09442334956,0.00488269324023349,ok,ok
13,1.1,-6.41278808550637,0.0016404444208946,1749.1084135204,0.0188728640821409,ok,ok
14,1.15,-6.36833632293554,0.00171501007638981,1749.13059907944,0.0410584231185567,ok,ok
15,1.2,-6.32577670851674,0.00178957573188502,1749.16019249123,0.0706518349134058,ok,ok
16,1.3,-6.24573400084321,0.00193870704287544,1749.23895193905,0.149411282726078,ok,ok
17,1.4,-6.17162602868948,0.00208783835386586,1749.34017314691,0.250632490585076,ok,ok
18,1.6,-6.03809463606496,0.0023861009758467,1749.59665732249,0.507116666164393,ok,ok
19,1.8,-5.92031160040858,0.00268436359782753,1749.90919655977,0.81965590344771,ok,ok
20,2,-5.81495108475075,0.00298262621980837,1750.26425796586,1.17471730953685,ok,ok
