section,name,value,note
prior_block,initial_numbers_prior_nll,0.578073234800862,sigma=0.75
prior_block,longline_selectivity_prior_nll,24.073730768489,sigma=1.0 around template logits
prior_block,purse_seine_selectivity_prior_nll,5.20544869296673,sigma=1.0 around template logits
prior_block,recruitment_prior_nll,0.0267760743766002,sigma=0.35
prior_block,total_flexible_prior_nll,29.8840287706332,sum of diagnostic blocks
initial_stress,max_abs_init_log_dev,0.472273246049762,age 10
initial_stress,min_init_multiplier,0.623583098017982,age 10
initial_stress,max_init_multiplier,0.98957129096091,age 1
age_parameter,age,init_log_dev,init_multiplier,ll_logit,ll_selectivity,ll_template,ll_logit_minus_template,ps_logit,ps_selectivity,ps_template,ps_logit_minus_template
age_parameter,1,-0.0104834690755784,0.98957129096091,-8.28685355687507,0.000251742119260515,0.001,-1.38009877822652,-1.13654558259133,0.242955160615266,0.2,0.249748778528561
age_parameter,2,-0.0383351367829327,0.962390354431615,-7.39787252875333,0.000612179574695776,0.005,-2.10456770402884,1.9496931991233,0.875413184446869,0.9,-0.24753137821292
age_parameter,3,-0.0941169324321744,0.910176326886405,-6.5080982653107,0.00148909240687595,0.03,-3.03199957547542,6.91670396383815,0.999009890053832,1,0.0099491851896012
age_parameter,4,-0.160782024149903,0.851477652445422,-5.50602988234828,0.00404576810418032,0.12,-3.51359971765807,-0.14884316785221,0.462857754400093,0.8,-1.5351375289721
age_parameter,5,-0.184790469208355,0.831278444035984,-3.59615916310618,0.026696612293418,0.35,-2.97711995469995,-2.27228570695691,0.0934444041635308,0.45,-2.07161501149476
age_parameter,6,-0.205424842319086,0.814301293264116,-1.45480446172545,0.189263255732504,0.7,-2.30210232211266,-3.04422252785997,0.0454675598466471,0.2,-1.65792816674007
age_parameter,7,-0.242124842369125,0.784958175396266,0.730231826097498,0.674856143161947,0.95,-2.21420715306894,-3.31893852823784,0.0349271701820399,0.08,-0.876591492868637
age_parameter,8,-0.284331202316768,0.752517367932285,3.03737616953681,0.954234380049666,0.9,0.840151592200591,-3.79844997910003,0.0219144698257169,0.03,-0.322351289264758
age_parameter,9,-0.418552831629587,0.657998365547949,1.03773836304414,0.738413386035382,0.6,0.632273254935977,-4.30069814328488,0.0133777000867128,0.015,-0.116106703214998
age_parameter,10,-0.472273246049762,0.623583098017982,-2.31480179375989,0.089904479500187,0.12,-0.322371629069682,-5.35953626514483,0.00468107110441474,0.005,-0.0662314404203368
