year,rec_dev
2001,-0.00094478
2002,0.00750619
2003,0.0129641
2004,0.0163573
2005,0.0191216
2006,0.02149
2007,0.0233984
2008,0.0246853
2009,0.0257847
2010,0.0271043
2011,0.0295071
2012,0.0246102
2013,0.00161807
2014,0.00592252
2015,0.0125528
2016,0.0174635
2017,0.0194292
2018,-0.0099605
2019,-0.0151721
2020,0
