year,log_rec_dev,rec_multiplier
1,0.518593155881,1.67966296275
2,0.537277834808,1.71134196023
3,0.546513536066,1.72722061572
4,0.552071267578,1.73684676917
5,0.554945518213,1.7418460833
6,0.557553820261,1.74639527426
7,0.564297619651,1.75821241507
8,0.578327808451,1.78305432807
9,0.600116045725,1.82233026176
10,0.629688267972,1.87702535913
11,0.665652876391,1.9457604478
12,0.634935945915,1.88690127385
13,0.4995162208,1.64792384655
14,0.352750098595,1.42297549542
15,0.316286434121,1.3720231936
16,0.315198808355,1.37053175704
17,0.289675263838,1.33599357215
18,0.0780367342987,1.08116237368
19,-0.286348972039,0.75100049204
20,0,1
