age,longline_selectivity,purse_seine_selectivity
1,0.5,1
2,0.500153,1
3,0.500306,0.85
4,0.500459,0.55
5,0.500612,0.25
6,0.500765,0.1
7,0.500918,0.04
8,0.501072,0.02
9,0.501225,0.01
10,0.501378,0.005
