section,name,value,note
prior_block,initial_numbers_prior_nll,0.488216612528189,sigma=0.75
prior_block,longline_selectivity_prior_nll,24.0736797767225,sigma=1.0 around template logits
prior_block,purse_seine_selectivity_prior_nll,5.20275402690596,sigma=1.0 around template logits
prior_block,recruitment_prior_nll,0.0377145650381268,sigma=0.35
prior_block,total_flexible_prior_nll,29.8023649811948,sum of diagnostic blocks
initial_stress,max_abs_init_log_dev,0.397727130286153,age 10
initial_stress,min_init_multiplier,0.67184532889484,age 10
initial_stress,max_init_multiplier,0.993693534198789,age 1
age_parameter,age,init_log_dev,init_multiplier,ll_logit,ll_selectivity,ll_template,ll_logit_minus_template,ps_logit,ps_selectivity,ps_template,ps_logit_minus_template
age_parameter,1,-0.00632643556000174,0.993693534198789,-8.28669641760884,0.000251781670979776,0.001,-1.37994163896028,-1.13645464343127,0.242971887259581,0.2,0.249839717688622
age_parameter,2,-0.0345063155441827,0.966082238332165,-7.39788032520321,0.000612174804808804,0.005,-2.10457550047872,1.94996899277444,0.875443260750956,0.9,-0.247255584561779
age_parameter,3,-0.0903414257634958,0.913619198881641,-6.50777186677348,0.00148957779967998,0.03,-3.03167317693821,6.91485947763348,0.999008063937608,1,0.00810469898492805
age_parameter,4,-0.155393435148547,0.856078299925124,-5.50541349888706,0.00404825251901748,0.12,-3.51298333419685,-0.148532027204318,0.46293511122245,0.8,-1.53482638832421
age_parameter,5,-0.178489207215299,0.836533085350157,-3.59640151229674,0.0266903158377771,0.35,-2.97736230389052,-2.27186892554062,0.0934797167620784,0.45,-2.07119823007847
age_parameter,6,-0.199209381564632,0.819378312657507,-1.45557826538961,0.189144549776441,0.7,-2.30287612577681,-3.04323626148341,0.0455103832584941,0.2,-1.65694190036352
age_parameter,7,-0.235987727255763,0.789790366768496,0.728637872863447,0.674506292015017,0.95,-2.21580110630299,-3.31930659616855,0.0349147657430226,0.08,-0.876959560799342
age_parameter,8,-0.276526552954686,0.758413480745517,3.03397023643605,0.954085408781094,0.9,0.836745659099827,-3.79834899412587,0.021916634464965,0.03,-0.322250304290598
age_parameter,9,-0.392195741604785,0.675571863496881,1.03175879284318,0.737256732401821,0.6,0.626293684735013,-4.30078896787186,0.0133765013698363,0.015,-0.116197527801985
age_parameter,10,-0.397727130286153,0.67184532889484,-2.32664876325407,0.0889398386250747,0.12,-0.334218598563868,-5.36017299291918,0.00467810542410583,0.005,-0.0668681681946852
