year,rec_dev,recruitment_multiplier
2001,0.0100864568074,1.01013749657
2002,0.0190997451321,1.0192833121
2003,0.0249827296594,1.02529741314
2004,0.0285849226471,1.02899739231
2005,0.0313954526627,1.03189348824
2006,0.0337497355359,1.03432571936
2007,0.0356380340873,1.03628068031
2008,0.0369124154794,1.03760213897
2009,0.0380083861527,1.03873994387
2010,0.0393262162946,1.04010972906
2011,0.0417644347788,1.04264883802
2012,0.0366796468286,1.03736064583
2013,0.013532568005,1.01362454764
2014,0.0173547974353,1.0175062669
2015,0.0238478394748,1.02413447319
2016,0.0288856053823,1.02930684058
2017,0.0302646330329,1.03072726235
2018,-0.00171660272587,0.998284869794
2019,-0.01132401389,0.98873986142
2020,0,1
