year,rec_dev
2001,0.594514
2002,0.611216
2003,0.613713
2004,0.611086
2005,0.606513
2006,0.603963
2007,0.607159
2008,0.618504
2009,0.638582
2010,0.666237
2011,0.697417
2012,0.658572
2013,0.511913
2014,0.353274
2015,0.303224
2016,0.285083
2017,0.237236
2018,0.010329
2019,-0.34147
2020,0
