year,rec_dev,recruitment_multiplier
2001,0.0668746537857,1.06916145443
2002,0.0720270237445,1.07468438567
2003,0.0747538733517,1.07761888752
2004,0.0766796512916,1.07969614172
2005,0.0803485231372,1.08366468408
2006,0.0858401847957,1.0896321746
2007,0.0923357417138,1.09673297928
2008,0.10088445893,1.10614882876
2009,0.113809639581,1.12053879834
2010,0.135954399659,1.1456296513
2011,0.173500301277,1.18946104513
2012,0.170675630611,1.18610595015
2013,0.104207155432,1.10983033849
2014,0.0723256823345,1.07500539733
2015,0.0871995294663,1.09111436747
2016,0.0972926089617,1.10218283502
2017,0.0416206736911,1.04249895646
2018,-0.230818416773,0.793883608895
2019,-0.596403651745,0.55078890721
2020,0,1
