section,year,fleet,age,observed,predicted,residual,abs_residual
age_residual,2001,longline,1,2e-08,5.22009229803458e-06,-5.20009229803458e-06,5.20009229803458e-06
age_residual,2001,longline,2,2.12e-06,4.69553310905247e-05,-4.48353310905247e-05,4.48353310905247e-05
age_residual,2001,longline,3,0.00012188,0.000401755616478589,-0.000279875616478589,0.000279875616478589
age_residual,2001,longline,4,0.00306002,0.00332156763295922,-0.000261547632959215,0.000261547632959215
age_residual,2001,longline,5,0.03361977,0.0283338466822065,0.00528592331779352,0.00528592331779352
age_residual,2001,longline,6,0.16163849,0.189295067362581,-0.0276565773625812,0.0276565773625812
age_residual,2001,longline,7,0.34007423,0.364063322450266,-0.0239890924502655,0.0239890924502655
age_residual,2001,longline,8,0.31309896,0.242680934438315,0.070418025561685,0.070418025561685
age_residual,2001,longline,9,0.12614454,0.100146211221403,0.025998328778597,0.025998328778597
age_residual,2001,longline,10,0.02223997,0.0717051191724023,-0.0494651491724023,0.0494651491724023
age_residual,2001,purse_seine,1,0.19500212,0.187838013823417,0.00716410617658308,0.00716410617658308
age_residual,2001,purse_seine,2,0.42353396,0.422111326878067,0.00142263312193314,0.00142263312193314
age_residual,2001,purse_seine,3,0.30375569,0.301081276950172,0.00267441304982802,0.00267441304982802
age_residual,2001,purse_seine,4,0.07193626,0.0749428653868076,-0.0030066053868076,0.0030066053868076
age_residual,2001,purse_seine,5,0.00562547,0.00912960396018276,-0.00350413396018276,0.00350413396018276
age_residual,2001,purse_seine,6,0.00014526,0.00276797365739003,-0.00262271365739003,0.00262271365739003
age_residual,2001,purse_seine,7,1.24e-06,0.00140116583676798,-0.00139992583676798,0.00139992583676798
age_residual,2001,purse_seine,8,0,0.000555171434619642,-0.000555171434619642,0.000555171434619642
age_residual,2001,purse_seine,9,0,0.000138707514844766,-0.000138707514844766,0.000138707514844766
age_residual,2001,purse_seine,10,0,3.38945577317862e-05,-3.38945577317862e-05,3.38945577317862e-05
age_residual,2002,longline,1,1.99999998e-08,4.82506811565133e-06,-4.80506811585133e-06,4.80506811585133e-06
age_residual,2002,longline,2,2.0499999795e-06,4.35752762688332e-05,-4.15252762893332e-05,4.15252762893332e-05
age_residual,2002,longline,3,0.0001184299988157,0.000372885937757416,-0.000254455938941716,0.000254455938941716
age_residual,2002,longline,4,0.0029929299700707,0.00314176291111532,-0.000148832941044617,0.000148832941044617
