index,log_B,B
0,6.97059869989309,1064.86009135396
1,6.954215654748,1047.55656961936
2,6.94127264489349,1034.08540140576
3,6.9321825344389,1024.72804502224
4,6.92159992513952,1013.94092708302
5,6.91041175046712,1002.66000303182
6,6.90483605945669,997.085037252704
7,6.90928179600673,1001.5276827448
8,6.91678407179424,1009.06967530916
9,6.92683212835952,1019.25997510218
10,6.93660393932836,1029.26881350163
11,6.94602299453631,1039.00935461324
12,6.95623974899812,1049.67907019456
13,6.9676165557883,1061.68925540487
14,6.97665423708636,1071.32795467178
15,6.98389290093244,1079.11107330918
16,6.98979962984895,1085.50395180316
17,6.99475230266528,1090.89343286894
18,6.99917519418031,1095.7290219371
19,7.00042644460046,1097.10091144584
