year,B_year_1,B_year_2,B_year_3,B_year_4,B_year_5,B_year_6,B_year_7,B_year_8,B_year_9,B_year_10,B_year_11,B_year_12,B_year_13,B_year_14,B_year_15,B_year_16,B_year_17,B_year_18,B_year_19,B_year_20
1,4740.79,1217.37,316.36,83.3065,21.9015,5.78945,1.55076,0.420735,0.114125,0.0309196,0.00832789,0.00223208,0.00059583,0.000158449,4.1802e-05,1.0955e-05,2.85689e-06,7.42516e-07,1.94245e-07,5.74846e-08
2,1217.37,4024.67,1045.9,275.414,72.407,19.1401,5.12685,1.39096,0.377301,0.102221,0.0275323,0.00737933,0.00196984,0.000523837,0.000138199,3.62177e-05,9.44497e-06,2.45478e-06,6.42181e-07,1.90046e-07
3,316.36,1045.9,3877.38,1021.02,268.429,70.9568,19.0064,5.15662,1.39874,0.378957,0.102069,0.0273569,0.00730264,0.00194198,0.000512335,0.000134267,3.50147e-05,9.10045e-06,2.38071e-06,7.04545e-07
4,83.3065,275.414,1021.02,3808.4,1001.24,264.668,70.8936,19.2341,5.21728,1.4135,0.380714,0.102041,0.0272387,0.00724357,0.001911,0.000500815,0.000130604,3.39445e-05,8.88002e-06,2.62794e-06
5,21.9015,72.407,268.429,1001.24,3717.58,982.709,263.227,71.4161,19.3717,5.24833,1.41359,0.378876,0.101137,0.0268953,0.00709553,0.00185952,0.000484932,0.000126036,3.29714e-05,9.75751e-06
6,5.78945,19.1401,70.9568,264.668,982.709,3625.45,971.109,263.471,71.4668,19.3623,5.21506,1.39776,0.373119,0.0992232,0.0261771,0.00686022,0.00178903,0.000464976,0.000121639,3.59978e-05
7,1.55076,5.12685,19.0064,70.8936,263.227,971.109,3583.87,972.339,263.748,71.4566,19.2461,5.15844,1.37699,0.366183,0.0966065,0.0253176,0.0066024,0.00171599,0.00044891,0.00013285
8,0.420735,1.39096,5.15662,19.2341,71.4161,263.471,972.339,3621.7,982.39,266.157,71.6867,19.2138,5.12893,1.36393,0.359833,0.0943013,0.0245922,0.0063916,0.00167207,0.000494829
9,0.114125,0.377301,1.39874,5.21728,19.3717,71.4668,263.748,982.39,3680.54,997.161,268.576,71.9849,19.2156,5.10999,1.34812,0.353301,0.0921351,0.0239462,0.00626444,0.00185389
10,0.0309196,0.102221,0.378957,1.4135,5.24833,19.3623,71.4566,266.157,997.161,3761.35,1013.08,271.531,72.4825,19.2752,5.0852,1.33267,0.347539,0.0903267,0.0236298,0.00699297
11,0.00832789,0.0275323,0.102069,0.380714,1.41359,5.21506,19.2461,71.6867,268.576,1013.08,3839.29,1029.02,274.687,73.0474,19.2714,5.05045,1.31707,0.342312,0.0895502,0.0265013
12,0.00223208,0.00737933,0.0273569,0.102041,0.378876,1.39776,5.15844,19.2138,71.9849,271.531,1029.02,3916.46,1045.46,278.018,73.347,19.222,5.01277,1.30284,0.340828,0.100864
13,0.00059583,0.00196984,0.00730264,0.0272387,0.101137,0.373119,1.37699,5.12893,19.2156,72.4825,274.687,1045.46,4001.62,1064.15,280.744,73.5745,19.187,4.98677,1.30456,0.386069
14,0.000158449,0.000523837,0.00194198,0.00724357,0.0268953,0.0992232,0.366183,1.36393,5.10999,19.2752,73.0474,278.018,1064.15,4099.67,1081.58,283.448,73.9186,19.2117,5.02586,1.48735
15,4.1802e-05,0.000138199,0.000512335,0.001911,0.00709553,0.0261771,0.0966065,0.359833,1.34812,5.0852,19.2714,73.347,280.744,1081.58,4178.73,1095.12,285.588,74.2254,19.4177,5.74643
16,1.0955e-05,3.62177e-05,0.000134267,0.000500815,0.00185952,0.00686022,0.0253176,0.0943013,0.353301,1.33267,5.05045,19.222,73.5745,283.448,1095.12,4242.39,1106.34,287.543,75.2225,22.2612
17,2.85689e-06,9.44497e-06,3.50147e-05,0.000130604,0.000484932,0.00178903,0.0066024,0.0245922,0.0921351,0.347539,1.31707,5.01277,19.187,73.9186,285.588,1106.34,4295.48,1116.41,292.058,86.4311
18,7.42516e-07,2.45478e-06,9.10045e-06,3.39445e-05,0.000126036,0.000464976,0.00171599,0.0063916,0.0239462,0.0903267,0.342312,1.30284,4.98677,19.2117,74.2254,287.543,1116.41,4343.36,1136.24,336.257
19,1.94245e-07,6.42181e-07,2.38071e-06,8.88002e-06,3.29714e-05,0.000121639,0.00044891,0.00167207,0.00626444,0.0236298,0.0895502,0.340828,1.30456,5.02586,19.4177,75.2225,292.058,1136.24,4429.78,1310.94
20,5.74846e-08,1.90046e-07,7.04545e-07,2.62794e-06,9.75751e-06,3.59978e-05,0.00013285,0.000494829,0.00185389,0.00699297,0.0265013,0.100864,0.386069,1.48735,5.74643,22.2612,86.4311,336.257,1310.94,5105.21
