year,B_year_1,B_year_2,B_year_3,B_year_4,B_year_5,B_year_6,B_year_7,B_year_8,B_year_9,B_year_10,B_year_11,B_year_12,B_year_13,B_year_14,B_year_15,B_year_16,B_year_17,B_year_18,B_year_19,B_year_20
1,1,0.278697,0.0737882,0.0196057,0.00521696,0.00139647,0.00037622,0.000101538,2.73212e-05,7.32211e-06,1.95202e-06,5.18009e-07,1.36798e-07,3.59409e-08,9.39183e-09,2.44277e-09,6.33085e-10,1.63632e-10,4.23871e-11,1.16848e-11
2,0.278697,1,0.264761,0.0703477,0.0187191,0.00501071,0.00134993,0.00036433,9.80317e-05,2.62727e-05,7.00409e-06,1.85868e-06,4.90848e-07,1.2896e-07,3.36991e-08,8.76497e-09,2.27159e-09,5.87131e-10,1.5209e-10,4.19264e-11
3,0.0737882,0.264761,1,0.265702,0.0707018,0.0189254,0.00509865,0.00137607,0.000370264,9.92314e-05,2.64543e-05,7.02021e-06,1.85392e-06,4.87082e-07,1.27281e-07,3.31052e-08,8.57976e-09,2.21759e-09,5.74443e-10,1.58355e-10
4,0.0196057,0.0703477,0.265702,1,0.266094,0.0712277,0.0191893,0.00517898,0.00139353,0.000373468,9.95638e-05,2.64213e-05,6.97745e-06,1.83319e-06,4.79035e-07,1.24595e-07,3.22909e-08,8.34613e-09,2.16198e-09,5.95988e-10
5,0.00521696,0.0187191,0.0707018,0.266094,1,0.267679,0.0721148,0.019463,0.00523699,0.00140352,0.000374168,9.92932e-05,2.62218e-05,6.88924e-06,1.80025e-06,4.68237e-07,1.21351e-07,3.13653e-08,8.12487e-09,2.23976e-09
6,0.00139647,0.00501071,0.0189254,0.0712277,0.267679,1,0.269408,0.0727103,0.0195645,0.0052433,0.00139783,0.000370942,9.79598e-05,2.5737e-05,6.72541e-06,1.74925e-06,4.53347e-07,1.17175e-07,3.03531e-08,8.36736e-09
7,0.00037622,0.00134993,0.00509865,0.0191893,0.0721148,0.269408,1,0.269889,0.0726201,0.0194623,0.0051885,0.00137688,0.000363611,9.55316e-05,2.49637e-05,6.49293e-06,1.68275e-06,4.34936e-07,1.12666e-07,3.10583e-08
8,0.000101538,0.00036433,0.00137607,0.00517898,0.019463,0.0727103,0.269889,1,0.269074,0.0721123,0.0192246,0.00510164,0.00134726,0.000353966,9.2496e-05,2.40578e-05,6.23498e-06,1.61154e-06,4.17452e-07,1.15078e-07
9,2.73212e-05,9.80317e-05,0.000370264,0.00139353,0.00523699,0.0195645,0.0726201,0.269074,1,0.268002,0.0714472,0.01896,0.00500703,0.0013155,0.000343757,8.94096e-05,2.3172e-05,5.9892e-06,1.55144e-06,4.27682e-07
10,7.32211e-06,2.62727e-05,9.92314e-05,0.000373468,0.00140352,0.0052433,0.0194623,0.0721123,0.268002,1,0.266592,0.0707458,0.0186828,0.00490854,0.00128267,0.000333616,8.64621e-05,2.23476e-05,5.78892e-06,1.59582e-06
11,1.95202e-06,7.00409e-06,2.64543e-05,9.95638e-05,0.000374168,0.00139783,0.0051885,0.0192246,0.0714472,0.266592,1,0.265371,0.0700802,0.0184122,0.00481134,0.00125141,0.000324323,8.38269e-05,2.17145e-05,5.98598e-06
12,5.18009e-07,1.85868e-06,7.02021e-06,2.64213e-05,9.92932e-05,0.000370942,0.00137688,0.00510164,0.01896,0.0707458,0.265371,1,0.264084,0.0693828,0.0181306,0.0047157,0.00122215,0.000315886,8.1827e-05,2.25571e-05
13,1.36798e-07,4.90848e-07,1.85392e-06,6.97745e-06,2.62218e-05,9.79598e-05,0.000363611,0.00134726,0.00500703,0.0186828,0.0700802,0.264084,1,0.26273,0.0686548,0.0178568,0.00462789,0.00119616,0.000309852,8.54162e-05
14,3.59409e-08,1.2896e-07,4.87082e-07,1.83319e-06,6.88924e-06,2.5737e-05,9.55316e-05,0.000353966,0.0013155,0.00490854,0.0184122,0.0693828,0.26273,1,0.261313,0.0679664,0.0176146,0.0045528,0.00117936,0.00032511
15,9.39183e-09,3.36991e-08,1.27281e-07,4.79035e-07,1.80025e-06,6.72541e-06,2.49637e-05,9.2496e-05,0.000343757,0.00128267,0.00481134,0.0181306,0.0686548,0.261313,1,0.260095,0.0674081,0.0174228,0.00451319,0.00124414
16,2.44277e-09,8.76497e-09,3.31052e-08,1.24595e-07,4.68237e-07,1.74925e-06,6.49293e-06,2.40578e-05,8.94096e-05,0.000333616,0.00125141,0.0047157,0.0178568,0.0679664,0.260095,1,0.259167,0.0669861,0.0173521,0.0047834
17,6.33085e-10,2.27159e-09,8.57976e-09,3.22909e-08,1.21351e-07,4.53347e-07,1.68275e-06,6.23498e-06,2.3172e-05,8.64621e-05,0.000324323,0.00122215,0.00462789,0.0176146,0.0674081,0.259167,1,0.258467,0.0669533,0.0184568
18,1.63632e-10,5.87131e-10,2.21759e-09,8.34613e-09,3.13653e-08,1.17175e-07,4.34936e-07,1.61154e-06,5.9892e-06,2.23476e-05,8.38269e-05,0.000315886,0.00119616,0.0045528,0.0174228,0.0669861,0.258467,1,0.25904,0.0714088
19,4.23871e-11,1.5209e-10,5.74443e-10,2.16198e-09,8.12487e-09,3.03531e-08,1.12666e-07,4.17452e-07,1.55144e-06,5.78892e-06,2.17145e-05,8.1827e-05,0.000309852,0.00117936,0.00451319,0.0173521,0.0669533,0.25904,1,0.275668
20,1.16848e-11,4.19264e-11,1.58355e-10,5.95988e-10,2.23976e-09,8.36736e-09,3.10583e-08,1.15078e-07,4.27682e-07,1.59582e-06,5.98598e-06,2.25571e-05,8.54162e-05,0.00032511,0.00124414,0.0047834,0.0184568,0.0714088,0.275668,1
