year,biomass,index_hat,depletion,F_proxy
1,1066.87,1.00353,1,0.0862333
2,1049.57,0.987253,0.983782,0.0900368
3,1036.08,0.974564,0.971138,0.0936219
4,1026.71,0.965749,0.962354,0.0925285
5,1015.9,0.955578,0.952219,0.0974508
6,1004.59,0.944946,0.941624,0.101534
7,999.012,0.939695,0.936392,0.100599
8,1003.47,0.943884,0.940566,0.0976615
9,1011.02,0.950994,0.947651,0.0949533
10,1021.24,0.960599,0.957222,0.0920454
11,1031.26,0.970032,0.966622,0.0901806
12,1041.03,0.979214,0.975772,0.0878941
13,1051.72,0.989271,0.985793,0.0855743
14,1063.75,1.00059,0.997074,0.0836661
15,1073.41,1.00968,1.00613,0.0819817
16,1081.21,1.01701,1.01344,0.0809278
17,1087.62,1.02304,1.01945,0.0799912
18,1093.03,1.02813,1.02452,0.0791378
19,1097.92,1.03273,1.0291,0.0783301
20,1099.45,1.03417,1.03054,0.077766
