year,rec_dev,recruitment_multiplier
2001,0.0094151775908,1.00945963981
2002,0.0183019596066,1.0184704669
2003,0.0241644264035,1.02445875211
2004,0.0278308004694,1.02822169507
2005,0.0307162809611,1.03119289332
2006,0.0330718775771,1.03362483102
2007,0.0347998543045,1.03541245471
2008,0.035808171173,1.03645700509
2009,0.0367124820705,1.03739470838
2010,0.0379996893884,1.03873091024
2011,0.0403728184473,1.04119887999
2012,0.0360550396883,1.03671290528
2013,0.0176493713004,1.01780604181
2014,0.0202625509887,1.02046923006
2015,0.0262397901901,1.02658708447
2016,0.0301779974085,1.03063796852
2017,0.0304415511414,1.0309096328
2018,-0.000652795140033,0.999347417884
2019,-0.0100419586333,0.990008293483
2020,0,1
