age,longline_selectivity,purse_seine_selectivity
1,0.5,1
2,0.50011,1
3,0.500221,0.85
4,0.500331,0.55
5,0.500442,0.25
6,0.500552,0.1
7,0.500663,0.04
8,0.500773,0.02
9,0.500884,0.01
10,0.500994,0.005
