age,longline_selectivity,purse_seine_selectivity
1,6.23138e-07,1
2,8.96761e-06,1
3,0.000129039,0.85
4,0.00185382,0.55
5,0.0260324,0.25
6,0.277796,0.1
7,0.846991,0.04
8,0.987603,0.02
9,0.999129,0.01
10,0.999939,0.005
