age,longline_selectivity,purse_seine_selectivity
1,1.03882e-06,1
2,1.69805e-05,1
3,0.000277495,0.85
4,0.00451677,0.55
5,0.0690462,0.25
6,0.547993,0.1
7,0.951963,0.04
8,0.996923,0.02
9,0.999811,0.01
10,0.999988,0.005
