age,longline_selectivity,purse_seine_selectivity
1,4.83823092308e-07,1
2,7.27863644565e-06,1
3,0.000109489386263,0.85
4,0.00164464100419,0.55
5,0.0241835732674,0.25
6,0.271581279785,0.1
7,0.848691083418,0.04
8,0.988287974552,0.02
9,0.999212881473,0.01
10,0.999947640802,0.005
