field,value
objective,1980.92922106
grad_norm,0.0218066416141
iterations,269
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1
random_effects,20
log_r0,4.50443576009
r0,90.4173125972
log_m_fixed,-1.71479842809
m_fixed,0.18
log_fbar,-1.30327540763
fbar,0.271640600624
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-9.2953059025
q_purse_seine,9.18543945588e-05
logit_sel_a50_longline,0.192180186517
sel_a50_longline,5.93107947274
log_sel_slope_longline,1.0274733818
sel_slope_longline,2.79399754397
init_log_number_dev_age_1,0.153596917736
init_number_multiplier_age_1,1.16602078974
init_log_number_dev_age_2,0.141911874406
init_number_multiplier_age_2,1.15247508151
init_log_number_dev_age_3,-0.0633961040714
init_number_multiplier_age_3,0.938571628006
init_log_number_dev_age_4,-0.293925542395
init_number_multiplier_age_4,0.745331985012
init_log_number_dev_age_5,-0.371838648994
init_number_multiplier_age_5,0.689465479498
init_log_number_dev_age_6,-0.370356993423
init_number_multiplier_age_6,0.690487787034
init_log_number_dev_age_7,-0.390007940024
init_number_multiplier_age_7,0.677051498672
init_log_number_dev_age_8,-0.668955002643
init_number_multiplier_age_8,0.512243591393
init_log_number_dev_age_9,-1.26595737396
init_number_multiplier_age_9,0.281969216891
init_log_number_dev_age_10,-2.89467373303
init_number_multiplier_age_10,0.0553170702835
