year,rec_dev
2001,0.0100865
2002,0.0190997
2003,0.0249827
2004,0.0285849
2005,0.0313955
2006,0.0337497
2007,0.035638
2008,0.0369124
2009,0.0380084
2010,0.0393262
2011,0.0417644
2012,0.0366796
2013,0.0135326
2014,0.0173548
2015,0.0238478
2016,0.0288856
2017,0.0302646
2018,-0.0017166
2019,-0.011324
2020,0
