year,rec_dev
2001,0.00941518
2002,0.018302
2003,0.0241644
2004,0.0278308
2005,0.0307163
2006,0.0330719
2007,0.0347999
2008,0.0358082
2009,0.0367125
2010,0.0379997
2011,0.0403728
2012,0.036055
2013,0.0176494
2014,0.0202626
2015,0.0262398
2016,0.030178
2017,0.0304416
2018,-0.000652795
2019,-0.010042
2020,0
