index,name,base_value,step,f_base,f_minus,f_plus,delta_minus,delta_plus,central_gradient,central_curvature,abs_sensitivity,status,message
13,init_log_number_dev_age_9,-0.526769825895457,0.0305353965179091,1926.12847351387,1926.13182571341,1926.13177263768,0.00335219954376953,0.00329912381198483,-0.000869085354001753,7.13347155587969,0.00335219954376953,ok,"ok"
12,init_log_number_dev_age_8,-0.161451167880698,0.023229023357614,1926.12847351387,1926.13291813415,1926.13312036891,0.00444462028872294,0.00464685504471163,0.00435306196208193,16.8489353308943,0.00464685504471163,ok,"ok"
14,init_log_number_dev_age_10,-1.22144747116952,0.0444289494233905,1926.12847351387,1926.13330595765,1926.13330908954,0.00483244378210657,0.00483557567508797,3.52460841641211e-05,4.89784940746475,0.00483557567508797,ok,"ok"
11,init_log_number_dev_age_7,-0.121204499744412,0.0224240899948882,1926.12847351387,1926.13513131145,1926.13527340522,0.00665779757991913,0.00679989135824144,0.00316832875614343,26.7633719812048,0.00679989135824144,ok,"ok"
10,init_log_number_dev_age_6,-0.100723561515711,0.0220144712303142,1926.12847351387,1926.13587040946,1926.13603962815,0.00739689559418366,0.00756611428801079,0.00384335131325155,30.8746786255688,0.00756611428801079,ok,"ok"
9,init_log_number_dev_age_5,-0.0888365361276263,0.0217767307225525,1926.12847351387,1926.13611964321,1926.13597636991,0.00764612933994613,0.0075028560490864,-0.00328959596105367,31.9446537268808,0.00764612933994613,ok,"ok"
8,init_log_number_dev_age_4,-0.065158782212047,0.0213031756442409,1926.12847351387,1926.13685265351,1926.13636999826,0.00837913963960091,0.00789648439763369,-0.0113282463147156,35.8631929624789,0.00837913963960091,ok,"ok"
7,init_log_number_dev_age_3,0.0646736882494747,0.0212934737649895,1926.12847351387,1926.14028094464,1926.139932944,0.0118074307749794,0.0114594301371653,-0.00817153278170652,51.3150503962832,0.0118074307749794,ok,"ok"
5,init_log_number_dev_age_1,0.0145364922597784,0.0202907298451956,1926.12847351387,1926.14266565626,1926.14108692054,0.0141921423917211,0.0126134066729264,-0.03890288153357,65.1072527230895,0.0141921423917211,ok,"ok"
6,init_log_number_dev_age_2,0.15033058229525,0.023006611645905,1926.12847351387,1926.14716166286,1926.14640175972,0.018688148996489,0.0179282458495891,-0.0165148862117457,69.1783595697688,0.018688148996489,ok,"ok"
4,log_sel_slope_longline,0.950172186042548,0.039003443720851,1926.12847351387,1926.536216067,1926.52749291536,0.40774255313022,0.39901940149457,-0.11182540313724,530.321826738763,0.40774255313022,ok,"ok"
3,logit_sel_a50_longline,0.48958829861505,0.029791765972301,1926.12847351387,1927.06883694754,1927.06720628528,0.940363433672928,0.938732771417563,-0.0273676669063826,2117.1738440668,0.940363433672928,ok,"ok"
1,log_fbar,-2.48054526332061,0.0696109052664121,1926.12847351387,1928.13028310551,1928.128447498,2.00180959164868,1.99997398413188,-0.0131847697553323,825.845932552913,2.00180959164868,ok,"ok"
0,log_r0,7.47488657876579,0.169497731575316,1926.12847351387,1935.13103586652,1935.44671105819,9.00256235265897,9.31823754432116,0.931207718027556,637.700343111921,9.31823754432116,ok,"ok"
2,log_q_purse_seine,-11.5364173025635,0.25072834605127,1926.12847351387,1939.17138171712,1939.12235226372,13.0429082032574,12.993878749854,-0.0977740534238159,414.171792721118,13.0429082032574,ok,"ok"
