age,longline_selectivity,purse_seine_selectivity
1,5.40395e-07,1
2,7.17566e-06,1
3,9.52744e-05,0.85
4,0.00126363,0.55
5,0.0165229,0.25
6,0.182397,0.1
7,0.747621,0.04
8,0.975208,0.02
9,0.998089,0.01
10,0.999856,0.005
