year,rec_dev
2001,0.0308201
2002,0.0476641
2003,0.0571579
2004,0.0625246
2005,0.0682183
2006,0.0745562
2007,0.0793907
2008,0.0832588
2009,0.0887543
2010,0.102637
2011,0.134182
2012,0.13337
2013,0.0846918
2014,0.088072
2015,0.11284
2016,0.146405
2017,0.102745
2018,-0.210769
2019,-0.638593
2020,0
