year,log_rec_dev,rec_multiplier
1,0.252778219575,1.28759768121
2,0.267045355986,1.30609968443
3,0.260608941167,1.29772008129
4,0.245684431822,1.27849605721
5,0.230855995455,1.25967782705
6,0.220247147977,1.24638473399
7,0.216585821397,1.24182965634
8,0.220604233486,1.24682987939
9,0.230393298871,1.25909511325
10,0.242565712443,1.27451499791
11,0.251530409668,1.28599200606
12,0.225054954241,1.25239153853
13,0.193361714291,1.21332158991
14,0.155484140428,1.1682234084
15,0.114156256934,1.12092726386
16,0.0753604756768,1.07827277194
17,0.0462757053203,1.04736313474
18,0.0292721990651,1.02970484103
19,0.0177156680645,1.01787352129
20,0,1
