year,rec_dev,recruitment_multiplier
2001,0.030820052267,1.03129990711
2002,0.047664111265,1.0488183099
2003,0.0571579268856,1.05882301381
2004,0.0625245978298,1.06452064349
2005,0.0682182705207,1.07059896317
2006,0.0745562059,1.07740589839
2007,0.0793907351305,1.08262725994
2008,0.0832588307887,1.08682307542
2009,0.0887543157484,1.09281213661
2010,0.102637450067,1.10808959843
2011,0.13418231837,1.14360130016
2012,0.133369514019,1.14267215371
2013,0.0846917635241,1.0883815361
2014,0.0880719980418,1.09206674586
2015,0.11283971325,1.11945248517
2016,0.146404753162,1.15766466167
2017,0.10274506236,1.10820884891
2018,-0.210768805058,0.809961304193
2019,-0.638593238946,0.528034720484
2020,0,1
