m,objective,grad_norm,converged,r0,fbar,q_purse_seine,rec_sd,rec_lag1,rec_prior_nll,rec_max_abs,age10_multiplier,fitted_plus_bio_share,equilibrium_plus_bio_share
0.40,1917.95072628,0.0268999249633,no,441.917066513,0.160079405837,2.79702766573e-05,0.170028578390849,0.513247954986679,2.39625899217714,0.579765988052536,0.154018514528104,0.0269401676158172,0.130383718456538
0.45,1915.53832433,0.0588295195018,no,625.313874317,0.138927719545,2.1538935342e-05,0.170856107645697,0.480974263424359,2.40078060847451,0.596403651745091,0.184014522568581,0.0217762240090163,0.0955106045184708
0.50,1916.29548225,0.00961895756252,no,883.446553971,0.119021623374,1.65832418912e-05,0.171883527197899,0.450442906872012,2.40886466273835,0.611671577948675,0.217810039226668,0.017497438359989,0.0692676242275149
0.55,1919.89845533,0.0334991137803,no,1247.37076015,0.10055342753,1.27481492609e-05,0.173163750235512,0.422741732889435,2.4258671692713,0.625691985287917,0.254899055268261,0.013912590563867,0.0497734488322521
0.60,1926.12847351,0.0408693383865,no,1763.20169233,0.0836975759296,9.76781947528e-06,0.174557634006191,0.397600825459281,2.44868310919189,0.638593238946092,0.294803138898954,0.01093281417397,0.0354628442365388
