index,name,base_value,step,f_base,f_minus,f_plus,delta_minus,delta_plus,central_gradient,central_curvature,abs_sensitivity,status,message
13,init_log_number_dev_age_9,-1.26595737396402,0.0453191474792805,1980.92922105646,1980.93893185745,1980.93904835215,0.00971080098338462,0.00982729569000185,0.00128527027864428,9.51302835117512,0.00982729569000185,ok,"ok"
12,init_log_number_dev_age_8,-0.668955002642641,0.0333791000528528,1980.92922105646,1980.94130324665,1980.94152577197,0.0120821901900854,0.0123047155113909,0.00333330318901891,21.8880691620696,0.0123047155113909,ok,"ok"
7,init_log_number_dev_age_3,-0.0633961040713582,0.0212679220814272,1980.92922105646,1980.94166215734,1980.94085548675,0.0124411008812331,0.0116344302898597,-0.0189644900024778,53.2262361575353,0.0124411008812331,ok,"ok"
11,init_log_number_dev_age_7,-0.390007940024183,0.0278001588004837,1980.92922105646,1980.94295386582,1980.94292538299,0.0137328093533142,0.01370432653016,-0.000512278065723995,35.50129707408,0.0137328093533142,ok,"ok"
8,init_log_number_dev_age_4,-0.293925542394765,0.0258785108478953,1980.92922105646,1980.94311761833,1980.94285833861,0.0138965618684779,0.0136372821457371,-0.00500955646684447,41.1138629939614,0.0138965618684779,ok,"ok"
9,init_log_number_dev_age_5,-0.371838648994487,0.0274367729798897,1980.92922105646,1980.94361430779,1980.94346784388,0.0143932513285563,0.0142467874177328,-0.00266911693534197,38.0458719246137,0.0143932513285563,ok,"ok"
10,init_log_number_dev_age_6,-0.370356993422913,0.0274071398684583,1980.92922105646,1980.94370185027,1980.94351926785,0.0144807938092981,0.01429821138845,-0.00333092803051382,38.3131928195803,0.0144807938092981,ok,"ok"
6,init_log_number_dev_age_2,0.141911874406141,0.0228382374881228,1980.92922105646,1980.94663539758,1980.94575033663,0.0174143411122714,0.0165292801632404,-0.0193767349492543,65.0778210967201,0.0174143411122714,ok,"ok"
5,init_log_number_dev_age_1,0.153596917735564,0.0230719383547113,1980.92922105646,1980.94681687363,1980.94559130973,0.0175958171712409,0.0163702532638581,-0.0265596216611891,63.8082950585215,0.0175958171712409,ok,"ok"
14,init_log_number_dev_age_10,-2.89467373303265,0.077893474660653,1980.92922105646,1980.95742683496,1980.95882868973,0.028205778496158,0.0296076332685971,0.00899853792982205,9.52854183069176,0.0296076332685971,ok,"ok"
4,log_sel_slope_longline,1.02747338179809,0.0405494676359619,1980.92922105646,1981.08333926905,1981.08132417548,0.154118212587491,0.152103119012963,-0.0248473493242691,186.236639707777,0.154118212587491,ok,"ok"
3,logit_sel_a50_longline,0.192180186517036,0.0238436037303407,1980.92922105646,1981.29747964122,1981.31592688413,0.368258584753448,0.386705827665992,0.386838397441357,1327.95295417362,0.386705827665992,ok,"ok"
1,log_fbar,-1.303275407635,0.0460655081526999,1980.92922105646,1981.63101486595,1981.63564577111,0.701793809488663,0.706424714643617,0.0502643446329031,663.61824906457,0.706424714643617,ok,"ok"
0,log_r0,4.50443576009313,0.110088715201863,1980.92922105646,1986.46602030765,1986.6364086666,5.53679925118445,5.70718761013836,0.773868414403258,927.758031939646,5.70718761013836,ok,"ok"
2,log_q_purse_seine,-9.29530590249583,0.205906118049917,1980.92922105646,1989.25424794538,1989.21472439905,8.32502688891259,8.28550334258648,-0.0959746769557554,391.782464764364,8.32502688891259,ok,"ok"
