metric,value,note
fit_value,2102.6218753236,reported profiled Laplace objective from optimizer
direct_joint_objective,2083.15836965696,objective evaluated directly at fit.par plus fit.u_hat
direct_minus_fit_value,-19.4635056666425,direct joint objective minus fit.value; expected to differ because fit.value includes Laplace terms
fit_par_size,5,number of fixed effects in returned fit
fit_u_hat_size,20,number of random effects in returned fit
full_parameter_vector_size,25,fixed plus random effects passed to objective
