year,rec_dev
2001,0.0668747
2002,0.072027
2003,0.0747539
2004,0.0766797
2005,0.0803485
2006,0.0858402
2007,0.0923357
2008,0.100884
2009,0.11381
2010,0.135954
2011,0.1735
2012,0.170676
2013,0.104207
2014,0.0723257
2015,0.0871995
2016,0.0972926
2017,0.0416207
2018,-0.230818
2019,-0.596404
2020,0
