year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,catch_log_residual,index_obs,index_hat,index_log_residual
2001,2246.784503,34844.681238,29666.248909,1.000000,0.053341,1100.000000,1530.551777,-0.330318,0.490000,0.564409,-0.141374
2002,2246.784503,33254.712229,28220.474044,0.951265,0.053341,1135.000000,1458.841216,-0.251010,0.478500,0.538655,-0.118420
2003,2246.784503,31843.812213,26895.308195,0.906596,0.053341,1170.000000,1394.425514,-0.175479,0.467500,0.515802,-0.098323
2004,2246.784503,30614.868067,25706.545085,0.866525,0.053341,1210.000000,1337.701655,-0.100333,0.455000,0.495895,-0.086068
2005,2246.784503,29564.485343,24670.454651,0.831600,0.053341,1250.000000,1288.797036,-0.030566,0.441500,0.478881,-0.081275
2006,2246.784503,28682.833020,23792.109409,0.801993,0.053341,1280.000000,1247.490862,0.025726,0.432000,0.464601,-0.072753
2007,2246.784503,27954.950225,23064.226614,0.777457,0.053341,1315.000000,1213.247703,0.080536,0.422000,0.452810,-0.070468
2008,2246.784503,27362.591281,22471.867671,0.757489,0.053341,1345.000000,1185.310771,0.126389,0.410500,0.443215,-0.076680
2009,2246.784503,26886.062002,21995.338391,0.741426,0.053341,1375.000000,1162.807224,0.167617,0.400500,0.435497,-0.083774
2010,2246.784503,26506.136584,21615.412973,0.728620,0.053341,1400.000000,1144.856563,0.201193,0.392000,0.429343,-0.090994
2011,2246.784503,26205.166743,21314.443132,0.718474,0.053341,1420.000000,1130.636383,0.227876,0.385500,0.424468,-0.096295
2012,2246.784503,25966.744038,21076.020427,0.710438,0.053341,1440.000000,1119.371422,0.251876,0.379500,0.420606,-0.102841
2013,2246.784503,25777.870010,20887.146400,0.704071,0.053341,1460.000000,1110.447529,0.273673,0.373500,0.417546,-0.111478
2014,2246.784503,25628.247523,20737.523912,0.699028,0.053341,1480.000000,1103.378187,0.293666,0.368500,0.415123,-0.119134
2015,2246.784503,25509.719374,20618.995763,0.695032,0.053341,1495.000000,1097.777986,0.308838,0.364500,0.413203,-0.125412
2016,2246.784503,25415.823582,20525.099971,0.691867,0.053341,1505.000000,1093.341611,0.319554,0.361500,0.411682,-0.129989
2017,2246.784503,25341.441083,20450.717472,0.689360,0.053341,1515.000000,1089.827197,0.329396,0.358500,0.410477,-0.135392
2018,2246.784503,25282.516653,20391.793042,0.687373,0.053341,1525.000000,1087.043144,0.338533,0.356500,0.409523,-0.138658
2019,2246.784503,25235.837816,20345.114205,0.685800,0.053341,1535.000000,1084.837670,0.347100,0.354500,0.408767,-0.142436
2020,2246.784503,25198.859711,20308.136100,0.684554,0.053341,1545.000000,1083.090533,0.355205,0.353500,0.408168,-0.143795
