year,log_rec_dev,rec_multiplier
1,0.310771391483,1.36447725441
2,0.317851529869,1.37417222255
3,0.31996829683,1.37708410571
4,0.320715085258,1.37811288028
5,0.321971374449,1.37984527656
6,0.325698805118,1.38499815169
7,0.333464071613,1.39579489698
8,0.34656439962,1.41420056488
9,0.365137530493,1.44071213637
10,0.388353663141,1.47455118649
11,0.413926721595,1.51274627119
12,0.371363511835,1.44970996434
13,0.224559164658,1.25177076975
14,0.0619257412307,1.06388333913
15,0.0157497202959,1.01587440084
16,0.0556737157428,1.05725266255
17,0.0856968175156,1.0894759682
18,-0.0522202469677,0.949119803062
19,-0.337703738335,0.713406611624
20,0,1
