metric,value,note
n,20,number of fitted years
catch_rmse_log,0.376486702862,root mean squared log catch residual
index_rmse_log,0.360528004129,root mean squared log index residual
catch_mean_log_residual,-0.298779745802,mean log observed minus predicted catch
index_mean_log_residual,-0.356086238512,mean log observed minus predicted index
max_abs_catch_log_residual,0.84135968668,maximum absolute log catch residual
max_abs_index_log_residual,0.446345731649,maximum absolute log index residual
