row,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20
u1,45.9000339958493,-25.7530855307664,0.874154260088744,0.797125743190463,0.692013557568316,0.577234082754785,0.468466154757152,0.373790243202166,0.297308133667684,0.234597763437705,0.183132087272497,0.140902400858067,0.106041220249153,0.0769640351450107,0.0533015409587279,0.0344137163210689,0.0200055083610096,0.0097536201337789,0.00319442250429347,0
u2,-25.7530855307664,61.5960537686533,-25.7022430005804,0.915737352613633,0.824293699963619,0.705445835080809,0.581523984521937,0.467096938905343,0.368803299011233,0.290346058307023,0.226410890036277,0.17414905073565,0.131066535402624,0.0951391854187023,0.0658955556787078,0.0425471213816309,0.0247339926318091,0.0120591536756365,0.00394937416103858,0
u3,0.874154260088744,-25.7022430005804,61.3438899677021,-25.6526341502195,0.952826439970522,0.846862846515251,0.716316783666571,0.584393866631672,0.464572380565187,0.363093555222349,0.282473777701853,0.217021600690259,0.163269930908427,0.118511422897427,0.0820913115262556,0.0530086197159108,0.0308167713569674,0.0150249590546991,0.00492086371650657,0
u4,0.797125743190463,0.915737352613633,-25.6526341502195,61.1296925967508,-25.6123689368337,0.98046566421317,0.862282512059664,0.722001480824019,0.583207970805688,0.45914383406398,0.354762974552614,0.271920441718976,0.204321892738335,0.148238044062055,0.102671826596179,0.0663012755808268,0.0385472986863533,0.0187947435392744,0.00615543171988975,0
u5,0.692013557568316,0.824293699963619,0.952826439970522,-25.6123689368337,60.9549204000359,-25.5847821151178,0.997356153220608,0.869116689727889,0.720983450719359,0.57720903612335,0.44964263423708,0.34256011360867,0.256816434784923,0.186090964859886,0.128817490008259,0.0831706259418752,0.04835492006805,0.0235777619650435,0.00772200081655683,0
u6,0.577234082754785,0.705445835080809,0.846862846515251,0.98046566421317,-25.5847821151178,60.8129042234395,-25.5697711892822,1.0034252539981,0.867108695956631,0.713570713628542,0.565975177835298,0.435259472908456,0.324684457098101,0.234778241292588,0.162322244534607,0.104741459949764,0.0608824990422363,0.0296848767789015,0.00972271152477333,0
u7,0.468466154757152,0.581523984521937,0.716316783666571,0.862282512059664,0.997356153220608,-25.5697711892822,60.689945513559,-25.5664737380812,0.999279947677678,0.857225224137892,0.699753321953267,0.548796919019878,0.413932355058932,0.29819791080854,0.205798578178928,0.132650157524949,0.0770622676782295,0.037564973354165,0.0123028698340022,0
u8,0.373790243202166,0.467096938905343,0.584393866631672,0.722001480824019,0.869116689727889,1.0034252539981,-25.5664737380812,60.5815138499111,-25.5740379984104,0.985878756409875,0.839343528014069,0.678398492937049,0.522838661254355,0.381664122528491,0.262764743297339,0.169130487392977,0.0981692949153512,0.0478324935215824,0.0156624935243599,0
u9,0.297308133667684,0.368803299011233,0.464572380565187,0.583207970805688,0.720983450719359,0.867108695956631,0.999279947677678,-25.5740379984104,60.4888420241423,-25.5920223679595,0.962522506142705,0.811501088548994,0.645501962992512,0.48257629003956,0.337586847365401,0.217029594296037,0.12585452680014,0.061286264951832,0.0200621741441864,0
u10,0.234597763437705,0.290346058307023,0.363093555222349,0.45914383406398,0.57720903612335,0.713570713628542,0.857225224137892,0.985878756409875,-25.5920223679595,60.4089798628138,-25.6221035499493,0.926002918788527,0.768222818692266,0.593623639133511,0.426511093110093,0.279618816989569,0.162117785862392,0.0789086129771022,0.025824320459833,0
