year,rec_dev,recruitment_multiplier
2001,0.125785507498,1.13403889935
2002,0.118517697242,1.12582679795
2003,0.114619899127,1.12144709353
2004,0.113496912541,1.12018843035
2005,0.115435285808,1.12236187946
2006,0.120879656278,1.12848909762
2007,0.130557635727,1.13946361181
2008,0.145815961391,1.15698323887
2009,0.168044206034,1.18298890474
2010,0.198236164624,1.21925030361
2011,0.236020316908,1.26620003517
2012,0.214511475078,1.23925634146
2013,0.102187806367,1.10759146493
2014,-0.00748755499991,0.992540406908
2015,-0.0232786443253,0.976990213063
2016,-0.0210473081728,0.979172640605
2017,-0.0338719159038,0.966695315004
2018,-0.203810634704,0.815616806083
2019,-0.478843146629,0.61949964768
2020,0,1
