index,log_B,B
0,6.54021990458763,692.438831770993
1,6.50107961660038,665.86011876777
2,6.48148626284909,652.94066691868
3,6.46963817954162,645.250219993441
4,6.45954239272148,638.768684479549
5,6.44832803680073,631.645321717189
6,6.4417297646249,627.491273806574
7,6.44531518572674,629.745132362423
8,6.45259552546605,634.346620750075
9,6.46252869635323,640.679092831803
10,6.47249904376822,647.098836324352
11,6.48196337702458,653.252268495475
12,6.49226920301324,660.019383159846
13,6.50374948057196,667.640250005687
14,6.51294315225551,673.80661761302
15,6.52038511791407,678.83976836015
16,6.52629516587939,682.86362282606
17,6.5308306262096,685.967757717555
18,6.53345260161003,687.768708296077
19,6.5284618665066,684.344787907136
