year,B_year_1,B_year_2,B_year_3,B_year_4,B_year_5,B_year_6,B_year_7,B_year_8,B_year_9,B_year_10,B_year_11,B_year_12,B_year_13,B_year_14,B_year_15,B_year_16,B_year_17,B_year_18,B_year_19,B_year_20
1,1,0.298582,0.0860437,0.024934,0.00722295,0.0021037,0.000616939,0.000181235,5.30964e-05,1.55032e-05,4.50609e-06,1.30518e-06,3.76596e-07,1.08216e-07,3.09702e-08,8.83098e-09,2.5116e-09,7.13278e-10,2.03846e-10,6.33817e-11
2,0.298582,1,0.288175,0.0835082,0.0241909,0.00704566,0.00206623,0.000606986,0.000177829,5.19227e-05,1.50917e-05,4.37128e-06,1.26128e-06,3.62434e-07,1.03724e-07,2.95764e-08,8.41178e-09,2.38889e-09,6.82716e-10,2.12276e-10
3,0.0860437,0.288175,1,0.289783,0.0839451,0.0244493,0.00717007,0.00210631,0.000617086,0.000180178,5.23698e-05,1.51688e-05,4.3768e-06,1.25769e-06,3.59936e-07,1.02634e-07,2.91899e-08,8.28972e-09,2.3691e-09,7.36622e-10
4,0.024934,0.0835082,0.289783,1,0.289683,0.0843709,0.0247429,0.00726858,0.00212948,0.000621768,0.000180721,5.23455e-05,1.51037e-05,4.3401e-06,1.24209e-06,3.54174e-07,1.0073e-07,2.86066e-08,8.17544e-09,2.54198e-09
5,0.00722295,0.0241909,0.0839451,0.289683,1,0.291253,0.0854138,0.0250915,0.00735107,0.00214638,0.000623858,0.0001807,5.21389e-05,1.49823e-05,4.28775e-06,1.22263e-06,3.47726e-07,9.87517e-08,2.82221e-08,8.77505e-09
6,0.0021037,0.00704566,0.0244493,0.0843709,0.291253,1,0.293263,0.0861503,0.0252395,0.00736946,0.00214198,0.000620421,0.000179016,5.14407e-05,1.47218e-05,4.19782e-06,1.1939e-06,3.39058e-07,9.68988e-08,3.01286e-08
7,0.000616939,0.00206623,0.00717007,0.0247429,0.0854138,0.293263,1,0.293764,0.0860642,0.0251292,0.00730395,0.00211558,0.000610427,0.000175408,5.01998e-05,1.43142e-05,4.07107e-06,1.15616e-06,3.30416e-07,1.02736e-07
8,0.000181235,0.000606986,0.00210631,0.00726858,0.0250915,0.0861503,0.293764,1,0.29297,0.0855419,0.0248633,0.00720161,0.00207795,0.000597104,0.000170885,4.87267e-05,1.38583e-05,3.93566e-06,1.12476e-06,3.49721e-07
9,5.30964e-05,0.000177829,0.000617086,0.00212948,0.00735107,0.0252395,0.0860642,0.29297,1,0.291982,0.0848663,0.0245814,0.0070927,0.00203811,0.000583283,0.00016632,4.73028e-05,1.34337e-05,3.83918e-06,1.19371e-06
10,1.55032e-05,5.19227e-05,0.000180178,0.000621768,0.00214638,0.00736946,0.0251292,0.0855419,0.291982,1,0.290656,0.0841882,0.0242916,0.00698026,0.00199767,0.000569624,0.000162006,4.60085e-05,1.31487e-05,4.08831e-06
11,4.50609e-06,1.50917e-05,5.23698e-05,0.000180721,0.000623858,0.00214198,0.00730395,0.0248633,0.0848663,0.290656,1,0.289648,0.0835749,0.0240155,0.00687296,0.00195979,0.00055738,0.000158292,4.52379e-05,1.40658e-05
12,1.30518e-06,4.37128e-06,1.51688e-05,5.23455e-05,0.0001807,0.000620421,0.00211558,0.00720161,0.0245814,0.0841882,0.289648,1,0.288539,0.0829126,0.0237286,0.00676609,0.00192433,0.000546497,0.000156182,4.85615e-05
13,3.76596e-07,1.26128e-06,4.3768e-06,1.51037e-05,5.21389e-05,0.000179016,0.000610427,0.00207795,0.0070927,0.0242916,0.0835749,0.288539,1,0.287353,0.0822372,0.0234495,0.00666922,0.00189401,0.000541286,0.000168301
14,1.08216e-07,3.62434e-07,1.25769e-06,4.3401e-06,1.49823e-05,5.14407e-05,0.000175408,0.000597104,0.00203811,0.00698026,0.0240155,0.0829126,0.287353,1,0.286189,0.0816051,0.0232092,0.00659124,0.0018837,0.000585696
15,3.09702e-08,1.03724e-07,3.59936e-07,1.24209e-06,4.28775e-06,1.47218e-05,5.01998e-05,0.000170885,0.000583283,0.00199767,0.00687296,0.0237286,0.0822372,0.286189,1,0.285144,0.0810974,0.0230311,0.00658201,0.00204654
16,8.83098e-09,2.95764e-08,1.02634e-07,3.54174e-07,1.22263e-06,4.19782e-06,1.43142e-05,4.87267e-05,0.00016632,0.000569624,0.00195979,0.00676609,0.0234495,0.0816051,0.285144,1,0.284408,0.08077,0.0230831,0.0071772
17,2.5116e-09,8.41178e-09,2.91899e-08,1.0073e-07,3.47726e-07,1.1939e-06,4.07107e-06,1.38583e-05,4.73028e-05,0.000162006,0.00055738,0.00192433,0.00666922,0.0232092,0.0810974,0.284408,1,0.283993,0.0811618,0.0252355
18,7.13278e-10,2.38889e-09,8.28972e-09,2.86066e-08,9.87517e-08,3.39058e-07,1.15616e-06,3.93566e-06,1.34337e-05,4.60085e-05,0.000158292,0.000546497,0.00189401,0.00659124,0.0230311,0.08077,0.283993,1,0.285788,0.0888597
19,2.03846e-10,6.82716e-10,2.3691e-09,8.17544e-09,2.82221e-08,9.68988e-08,3.30416e-07,1.12476e-06,3.83918e-06,1.31487e-05,4.52379e-05,0.000156182,0.000541286,0.0018837,0.00658201,0.0230831,0.0811618,0.285788,1,0.310929
20,6.33817e-11,2.12276e-10,7.36622e-10,2.54198e-09,8.77505e-09,3.01286e-08,1.02736e-07,3.49721e-07,1.19371e-06,4.08831e-06,1.40658e-05,4.85615e-05,0.000168301,0.000585696,0.00204654,0.0071772,0.0252355,0.0888597,0.310929,1
