year,log_rec_dev,rec_multiplier
1,0.292823271663,1.34020591714
2,0.309720868121,1.36304459183
3,0.301910033072,1.3524395464
4,0.285691214186,1.33068149624
5,0.270960130172,1.31122279112
6,0.261513271175,1.29889417931
7,0.257958001096,1.29428445895
8,0.259672430387,1.29650532135
9,0.265980463471,1.30470956894
10,0.276043767635,1.31790554437
11,0.288671285658,1.33465293685
12,0.29746043483,1.34643510237
13,0.294418343108,1.34234534715
14,0.270837299468,1.31106174259
15,0.228350170941,1.25652524703
16,0.171405365724,1.1869718092
17,0.101383299811,1.10670075867
18,0.0376908143052,1.03841012168
19,0.00595280888295,1.00597056206
20,0,1
