age,longline_selectivity,purse_seine_selectivity
1,5.07398e-07,1
2,7.47654e-06,1
3,0.000110157,0.85
4,0.00162072,0.55
5,0.0233615,0.25
6,0.260612,0.1
7,0.838546,0.04
8,0.987102,0.02
9,0.999114,0.01
10,0.99994,0.005
