year,log_rec_dev,rec_multiplier
1,0.332449630699,1.39437966349
2,0.336499876937,1.40003869698
3,0.316493167331,1.37230686569
4,0.290477574247,1.33706588381
5,0.268345873537,1.307799395
6,0.253362570932,1.28835031054
7,0.245801926263,1.27864628221
8,0.244629948923,1.27714861553
9,0.248613934014,1.28224690558
10,0.256560323457,1.29247673011
11,0.266949451066,1.30597442905
12,0.272872500515,1.3137327339
13,0.26596417003,1.30468831091
14,0.237900239604,1.26858263221
15,0.191777530814,1.21140098759
16,0.136009984379,1.14569333257
17,0.0762430562431,1.07922485462
18,0.0262831197542,1.02663156701
19,0.00342840542336,1.00343428913
20,0,1
