year,log_rec_dev,rec_multiplier
1,0.892836368195,2.44204638014
2,0.924018364077,2.51939391853
3,0.925191549895,2.52235137023
4,0.902411163024,2.46554077069
5,0.871666523783,2.39089201366
6,0.84633907209,2.33109723278
7,0.833131219289,2.30051087834
8,0.832143184855,2.2982390169
9,0.839094328712,2.31427005942
10,0.85318484479,2.34711014241
11,0.877680045771,2.40531301239
12,0.859037593937,2.36088746758
13,0.783897384046,2.1899908901
14,0.781242199198,2.18418377236
15,0.845362589953,2.32882206899
16,0.909657318218,2.48347134716
17,0.932083921364,2.53979640261
18,0.685541630678,1.98484659826
19,0.127552458979,1.13604446241
20,0,1
