band_width,kept_entries,total_entries,kept_entry_share,retained_abs_share,relative_frobenius_error,min_eigenvalue,max_eigenvalue,positive_definite,condition_number_abs
0,20,400,0.05,0.520232860241547,0.516650973771845,44.4444452796233,61.5960537686533,yes,1.38591118375131
1,58,400,0.145,0.953689798960509,0.0258896620352103,8.91212659187872,111.422337813405,yes,12.5023288958821
2,94,400,0.235,0.965075324550017,0.0207918921861865,9.66811414285241,112.975138005214,yes,11.6853334927511
3,128,400,0.32,0.974490255271145,0.0161584024747199,10.0686015701853,111.686211576545,yes,11.0925246965045
5,190,400,0.475,0.987406006389112,0.00907397498603396,10.327635079362,111.947454515262,yes,10.8396020633001
10,310,400,0.775,0.998514901311494,0.00166521642115359,10.23659448881,112.26889834406,yes,10.9674070284591
19,400,400,1,1,0,10.2183884027573,112.239031834401,yes,10.9840248198155
