i,j,value,abs_value
15,14,-26.0202741131366,26.0202741131366
15,15,60.2148446660067,60.2148446660067
15,16,-26.2040870779856,26.2040870779856
15,17,0.316747517103977,0.316747517103977
15,18,0.176981806987442,0.176981806987442
15,19,0.0646691589167858,0.0646691589167858
16,1,0.0344137163210689,0.0344137163210689
16,2,0.0425471213816309,0.0425471213816309
16,3,0.0530086197159108,0.0530086197159108
16,4,0.0663012755808268,0.0663012755808268
16,5,0.0831706259418752,0.0831706259418752
16,6,0.104741459949764,0.104741459949764
16,7,0.132650157524949,0.132650157524949
16,8,0.169130487392977,0.169130487392977
16,9,0.217029594296037,0.217029594296037
16,10,0.279618816989569,0.279618816989569
16,11,0.35181919599836,0.35181919599836
16,12,0.423290913431629,0.423290913431629
16,13,0.476630290791036,0.476630290791036
16,14,0.489159823757745,0.489159823757745
16,15,-26.2040870779856,26.2040870779856
16,16,60.2195150634088,60.2195150634088
16,17,-26.3851454462838,26.3851454462838
16,18,0.163300661881749,0.163300661881749
16,19,0.0618930684481711,0.0618930684481711
17,1,0.0200055083610096,0.0200055083610096
17,2,0.0247339926318091,0.0247339926318091
17,3,0.0308167713569674,0.0308167713569674
17,4,0.0385472986863533,0.0385472986863533
17,5,0.04835492006805,0.04835492006805
17,6,0.0608824990422363,0.0608824990422363
17,7,0.0770622676782295,0.0770622676782295
17,8,0.0981692949153512,0.0981692949153512
17,9,0.12585452680014,0.12585452680014
17,10,0.162117785862392,0.162117785862392
17,11,0.209089989766653,0.209089989766653
17,12,0.260363286486154,0.260363286486154
17,13,0.304390468386373,0.304390468386373
17,14,0.322853210832363,0.322853210832363
17,15,0.316747517103977,0.316747517103977
17,16,-26.3851454462838,26.3851454462838
17,17,60.2491752488277,60.2491752488277
17,18,-26.5319428649491,26.5319428649491
17,19,0.0531219512822645,0.0531219512822645
18,1,0.0097536201337789,0.0097536201337789
18,2,0.0120591536756365,0.0120591536756365
18,3,0.0150249590546991,0.0150249590546991
18,4,0.0187947435392744,0.0187947435392744
18,5,0.0235777619650435,0.0235777619650435
18,6,0.0296848767789015,0.0296848767789015
18,7,0.037564973354165,0.037564973354165
18,8,0.0478324935215824,0.0478324935215824
18,9,0.061286264951832,0.061286264951832
18,10,0.0789086129771022,0.0789086129771022
18,11,0.101823260933998,0.101823260933998
18,12,0.131161748129216,0.131161748129216
18,13,0.159440460834048,0.159440460834048
18,14,0.174135728059355,0.174135728059355
18,15,0.176981806987442,0.176981806987442
18,16,0.163300661881749,0.163300661881749
18,17,-26.5319428649491,26.5319428649491
18,18,60.3067960014414,60.3067960014414
18,19,-26.6264992276888,26.6264992276888
19,1,0.00319442250429347,0.00319442250429347
19,2,0.00394937416103858,0.00394937416103858
19,3,0.00492086371650657,0.00492086371650657
19,4,0.00615543171988975,0.00615543171988975
19,5,0.00772200081655683,0.00772200081655683
19,6,0.00972271152477333,0.00972271152477333
19,7,0.0123028698340022,0.0123028698340022
19,8,0.0156624935243599,0.0156624935243599
19,9,0.0200621741441864,0.0200621741441864
19,10,0.025824320459833,0.025824320459833
19,11,0.0333223226789414,0.0333223226789414
19,12,0.0429610125252111,0.0429610125252111
19,13,0.0551457546293932,0.0551457546293932
19,14,0.0615525408420581,0.0615525408420581
19,15,0.0646691589167858,0.0646691589167858
19,16,0.0618930684481711,0.0618930684481711
19,17,0.0531219512822645,0.0531219512822645
19,18,-26.6264992276888,26.6264992276888
19,19,60.3803584908746,60.3803584908746
19,20,-26.6666667414484,26.6666667414484
20,19,-26.6666667414484,26.6666667414484
20,20,44.4444452796233,44.4444452796233
