metric,target,value,extra
random_effects,,20,
total_entries,,400,
structural_nonzeros,,364,
structural_density,,0.91,
positive_definite,,yes,
min_eigenvalue,,10.2183884027573,
max_eigenvalue,,112.239031834401,
condition_number,,10.9840248198155,
effective_sparsity_entries,90%,54,compression_vs_structural=6.74074074074074
effective_sparsity_entries,95%,58,compression_vs_structural=6.27586206896552
effective_sparsity_entries,97%,100,compression_vs_structural=3.64
effective_sparsity_entries,98%,133,compression_vs_structural=2.73684210526316
effective_sparsity_entries,99%,183,compression_vs_structural=1.98907103825137
effective_sparsity_entries,99.5%,224,compression_vs_structural=1.625
effective_sparsity_entries,99.9%,293,compression_vs_structural=1.24232081911263
effective_sparsity_entries,100%,364,compression_vs_structural=1
effective_bandwidth,90%,1,
effective_bandwidth,95%,1,
effective_bandwidth,97%,2,
effective_bandwidth,98%,3,
effective_bandwidth,99%,5,
effective_bandwidth,99.5%,7,
effective_bandwidth,99.9%,10,
effective_bandwidth,100%,19,
