year,rec_dev,recruitment_multiplier
2001,0.0553835354409,1.05694591316
2002,0.0678916722422,1.07024936448
2003,0.0770656753428,1.08011301086
2004,0.0839519998966,1.08757668876
2005,0.0890683289904,1.09315534798
2006,0.0942260841256,1.09880814091
2007,0.099120740188,1.10419961278
2008,0.104709738153,1.11038826023
2009,0.11242980399,1.11899370526
2010,0.12865994251,1.13730330989
2011,0.162658651442,1.17663497848
2012,0.161783964898,1.17560624167
2013,0.103527642618,1.10907645072
2014,0.0854150435585,1.08916902549
2015,0.111510270897,1.11796522645
2016,0.139076385506,1.14921187978
2017,0.130015968266,1.13884656858
2018,-0.092799441094,0.911376266595
2019,-0.471719936821,0.623928227774
2020,0,1
