Safe Fixed Effect Wiggle Diagnostics
====================================

relative_step:       0.02
absolute_min_step:   0.001

Interpretation
--------------
Perturbations that fail are retained as diagnostic rows instead of aborting
the model run. Failed perturbations identify regions where the profiled
Laplace solve or Huu factorization is not stable.

Rows sorted by finite abs_sensitivity, failed rows last
------------------------------------------------------
index,name,base_value,step,f_base,f_minus,f_plus,delta_minus,delta_plus,central_gradient,central_curvature,abs_sensitivity,status,message
22,init_log_number_dev_age_10,-0.299867924994342,0.0259973584998868,1749.38314001437,1749.38432979046,1749.38434442804,0.00118977609213289,0.00120441367403146,0.000281520560995314,3.5424205936032,0.00120441367403146,ok,ok
21,init_log_number_dev_age_9,-0.343964599712647,0.0268792919942529,1749.38314001437,1749.38558573459,1749.38561598733,0.00244572022279499,0.00247597295992819,0.00056275174844011,6.8120666127973,0.00247597295992819,ok,ok
20,init_log_number_dev_age_8,-0.26075837077449,0.0252151674154898,1749.38314001437,1749.38867168039,1749.38871857073,0.00553166602412603,0.00557855635770466,0.000929804129514243,17.4742699207104,0.00557855635770466,ok,ok
26,logit_sel_purse_seine_age_4,-0.147576824848307,0.0229515364969661,1749.38314001437,1749.3871925348,1749.38904616705,0.00405252043447035,0.00590615268492911,0.0403814413624069,18.9050551151206,0.00590615268492911,ok,ok
30,logit_sel_purse_seine_age_8,-3.7979394803918,0.095958789607836,1749.38314001437,1749.38917937161,1749.3892017951,0.00603935723870563,0.00606178073235242,0.000116839185542169,1.3141855571616,0.00606178073235242,ok,ok
11,logit_sel_longline_age_9,1.0215958327937,0.0404319166558741,1749.38314001437,1749.38939138847,1749.38871952364,0.00625137409747367,0.00557950927168349,-0.00830859481024096,7.23716566872082,0.00625137409747367,ok,ok
31,logit_sel_purse_seine_age_9,-4.30059269201816,0.106011853840363,1749.38314001437,1749.38945658952,1749.3893358416,0.00631657515009465,0.00619582723038548,-0.000569501972350192,1.1133503345396,0.00631657515009465,ok,ok
24,logit_sel_purse_seine_age_2,1.95209735898479,0.0590419471796958,1749.38314001437,1749.38973359182,1749.38928297565,0.00659357745325906,0.00614296127901071,-0.00381606803106349,3.65367637342657,0.00659357745325906,ok,ok
29,logit_sel_purse_seine_age_7,-3.318328847123,0.08636657694246,1749.38314001437,1749.39031047945,1749.38973807948,0.00717046508611929,0.00659806511134775,-0.00331378176046558,1.84584898570133,0.00717046508611929,ok,ok
10,logit_sel_longline_age_8,3.02859337158453,0.0805718674316906,1749.38314001437,1749.39050613051,1749.38977925437,0.00736611613706373,0.00663923999877625,-0.00451073160804998,2.1573832263964,0.00736611613706373,ok,ok
19,init_log_number_dev_age_7,-0.224106350222244,0.0244821270044449,1749.38314001437,1749.39149683702,1749.39165613674,0.00835682265096693,0.0085161223751129,0.0032533881577578,28.1509203763453,0.0085161223751129,ok,ok
32,logit_sel_purse_seine_age_10,-5.36122217725868,0.127224443545174,1749.38314001437,1749.39186479382,1749.3916848999,0.00872477945108585,0.00854488552931798,-0.00070699433518841,1.06694686721803,0.00872477945108585,ok,ok
28,logit_sel_purse_seine_age_6,-3.04383077120332,0.0808766154240664,1749.38314001437,1749.39199273706,1749.39189307092,0.00885272268942572,0.00875305654676595,-0.000616161681205279,2.69159253507414,0.00885272268942572,ok,ok
17,init_log_number_dev_age_5,-0.166774957041782,0.0233354991408357,1749.38314001437,1749.39242601264,1749.39229727232,0.0092859982732989,0.00915725795402977,-0.00275846508557942,33.8690808110634,0.0092859982732989,ok,ok
