metric,value,note
fit_value,1936.13626925898,reported profiled Laplace objective from optimizer
direct_joint_objective,1915.21283034018,objective evaluated directly at fit.par plus fit.u_hat
direct_minus_fit_value,-20.9234389187902,direct joint objective minus fit.value; expected to differ because fit.value includes Laplace terms
fit_par_size,7,number of fixed effects in returned fit
fit_u_hat_size,20,number of random effects in returned fit
full_parameter_vector_size,27,fixed plus random effects passed to objective
