Recruitment Diagnostics
=======================

Summary
-------
sigma_rec_dev:          0.35
n:                      20
mean_rec_dev:           0.0276127299235308
sd_rec_dev:             0.0333022430735887
max_abs_rec_dev:        0.0587703883319105
max_abs_year:           2011
lag1_correlation:       0.927648347252495
roughness:              0.0127357079968388
total_rec_prior_nll:    0.148249002275561
interpretation:         Recruitment deviations are modest relative to the prior scale.

Interpretation notes
--------------------
Recruitment deviations should be checked for magnitude, persistence, and
roughness. Large persistent runs can indicate that recruitment is absorbing
misspecified fleet, selectivity, index, or catch processes rather than
representing biological recruitment variation.

Rows
----
index,year,rec_dev,recruitment_multiplier,prior_z,prior_nll
0,2001,0.0477273600577698,1.04888464848783,0.136363885879342,0.00929755468605715
1,2002,0.0523985244278911,1.05379562213909,0.149710069793975,0.0112065524988584
2,2003,0.0533189465912867,1.05476600549806,0.152339847403676,0.0116037145534877
3,2004,0.0543048500929664,1.05580641578414,0.155156714551333,0.0120368030351818
4,2005,0.0552169348126672,1.05676983997839,0.157762670893335,0.0124445301636993
5,2006,0.0556476099911104,1.05722506253729,0.158993171403173,0.0126394142764193
6,2007,0.055669941326009,1.05724867204784,0.159056975217168,0.0126495606826175
7,2008,0.0542525084467293,1.05575115458447,0.155007166990655,0.0120136109092344
8,2009,0.0529566263951388,1.05438391169639,0.151304646843254,0.0114465480781809
9,2010,0.0534217649779759,1.05487446041257,0.152633614222788,0.0116485100953555
10,2011,0.0587703883319105,1.06053170232837,0.16791539523403,0.0140977899783002
11,2012,0.050739265053949,1.05204855169717,0.144969328725569,0.010508053135571
12,2013,0.00350999346899204,1.00351616070962,0.0100285527685487,5.02859353157827e-05
13,2014,-0.0109792349598528,0.989080816865002,-0.0313692427424364,0.000492014695116951
14,2015,-0.0135004357171862,0.986590286443295,-0.0385726734776748,0.000743925569607658
15,2016,-0.0143947020740547,0.98570840631875,-0.0411277202115849,0.000845744684901206
16,2017,-0.0230126656723724,0.977250106165221,-0.0657504733496355,0.00216156237285056
17,2018,-0.0149082519286065,0.985202325869947,-0.0425950055103043,0.000907167247211429
18,2019,-0.0188848251517075,0.981292375935043,-0.0539566432905929,0.00145565967759414
19,2020,0,1,0,0
