index,name,base_value,step,f_base,f_minus,f_plus,delta_minus,delta_plus,central_gradient,central_curvature,abs_sensitivity,status,message
13,init_log_number_dev_age_9,-0.795033004172961,0.0359006600834592,1915.53832433013,1915.54341690414,1915.54325614767,0.00509257400699425,0.00493181753859062,-0.00223890686173901,7.77773521641865,0.00509257400699425,ok,"ok"
12,init_log_number_dev_age_8,-0.349778385750033,0.0269955677150007,1915.53832433013,1915.54453240039,1915.54522228492,0.00620807025347858,0.00689795478092492,0.012777736973892,17.9839904394268,0.00689795478092492,ok,"ok"
14,init_log_number_dev_age_10,-1.69274059748457,0.0538548119496914,1915.53832433013,1915.54709728867,1915.54678838693,0.00877295853524629,0.00846405679476447,-0.00286791216326571,5.943100034138,0.00877295853524629,ok,"ok"
11,init_log_number_dev_age_7,-0.242331651751909,0.0248466330350382,1915.53832433013,1915.54722525068,1915.54710547595,0.00890092054078195,0.0087811458156466,-0.00241028080075183,28.6416428089679,0.00890092054078195,ok,"ok"
9,init_log_number_dev_age_5,-0.207651608665591,0.0241530321733118,1915.53832433013,1915.54818787404,1915.54802045284,0.00986354390533961,0.00969612270660036,-0.00346584224990687,33.5288091190524,0.00986354390533961,ok,"ok"
10,init_log_number_dev_age_6,-0.229178652931524,0.0245835730586305,1915.53832433013,1915.54824428365,1915.54808242506,0.00991995351273545,0.00975809492797453,-0.00329200690995766,32.56057123352,0.00991995351273545,ok,"ok"
8,init_log_number_dev_age_4,-0.15174363859537,0.0230348727719074,1915.53832433013,1915.54837789669,1915.54814464499,0.0100535665565076,0.00982031485455082,-0.00506301259543371,37.4551083983533,0.0100535665565076,ok,"ok"
7,init_log_number_dev_age_3,0.024363315247136,0.0204872663049427,1915.53832433013,1915.54969237365,1915.54880687584,0.0113680435194965,0.0104825457049174,-0.0216109314292826,52.0589167886843,0.0113680435194965,ok,"ok"
5,init_log_number_dev_age_1,0.0707942183745211,0.0214158843674904,1915.53832433013,1915.55373932259,1915.55234795989,0.0154149924553622,0.0140236297568208,-0.0324843624168388,64.186759954281,0.0154149924553622,ok,"ok"
6,init_log_number_dev_age_2,0.156889316495372,0.0231377863299074,1915.53832433013,1915.55659064683,1915.55615952643,0.0182663166945076,0.0178351962908891,-0.0093163710104199,67.4344455174194,0.0182663166945076,ok,"ok"
4,log_sel_slope_longline,0.982331562701708,0.0396466312540341,1915.53832433013,1915.81145067711,1915.80502116726,0.273126346975914,0.266696837124755,-0.081085197503446,343.430569042517,0.273126346975914,ok,"ok"
3,logit_sel_a50_longline,0.385994847367379,0.0277198969473476,1915.53832433013,1916.29411927007,1916.2995146071,0.75579493993132,0.761190276969955,0.0973188509481728,1974.23172164085,0.761190276969955,ok,"ok"
1,log_fbar,-1.97380148437063,0.0594760296874127,1915.53832433013,1916.98884179922,1916.9894948007,1.4505174690853,1.45117047056715,0.00548961897156594,820.288769194613,1.45117047056715,ok,"ok"
0,log_r0,6.43825372258337,0.148765074451667,1915.53832433013,1923.26622354589,1923.56114276647,7.72789921576009,8.02281843633409,0.991224659622036,711.702315035518,8.02281843633409,ok,"ok"
2,log_q_purse_seine,-10.7456483144794,0.234912966289588,1915.53832433013,1926.82909295952,1926.77796789056,11.2907686293825,11.2396435604207,-0.108817043540044,408.277229910179,11.2907686293825,ok,"ok"
