field,value
objective,1734.69216865
grad_norm,0.0227623484022
iterations,350
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=2
random_effects,20
log_r0,6.76182426934
r0,864.217323787
log_m_fixed,-0.798507696218
m_fixed,0.45
log_fbar,-2.67024231455
fbar,0.0692354465208
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-10.7576397229
q_purse_seine,2.1282195584e-05
logit_sel_a50_longline,-8.96029666831
sel_a50_longline,1.001155525
log_sel_slope_longline,-8.14834890307
sel_slope_longline,0.000289212483475
init_log_number_dev_age_1,-7.2945119869
init_number_multiplier_age_1,0.000679256332512
init_log_number_dev_age_2,-6.00911840552
init_number_multiplier_age_2,0.00245625264496
init_log_number_dev_age_3,-3.63721183627
init_number_multiplier_age_3,0.0263256419347
init_log_number_dev_age_4,-1.38506709932
init_number_multiplier_age_4,0.250307003799
init_log_number_dev_age_5,1.00523996252
init_number_multiplier_age_5,2.73256290684
init_log_number_dev_age_6,3.9434045758
init_number_multiplier_age_6,51.5939581645
init_log_number_dev_age_7,1.74086448897
init_number_multiplier_age_7,5.70227084274
init_log_number_dev_age_8,-2.18967191194
init_number_multiplier_age_8,0.11195347319
init_log_number_dev_age_9,0.0167926341191
init_number_multiplier_age_9,1.01693442296
init_log_number_dev_age_10,-0.0110123327247
init_number_multiplier_age_10,0.989048081042
logit_sel_purse_seine_age_1,-0.0768595049214
sel_purse_seine_age_1,0.480794577322
logit_sel_purse_seine_age_2,-0.140605435823
sel_purse_seine_age_2,0.46490643832
logit_sel_purse_seine_age_3,-0.185688726478
sel_purse_seine_age_3,0.45371074763
logit_sel_purse_seine_age_4,-0.217136722491
sel_purse_seine_age_4,0.44592810271
logit_sel_purse_seine_age_5,-0.256825711391
sel_purse_seine_age_5,0.436144178124
logit_sel_purse_seine_age_6,-0.289305648801
sel_purse_seine_age_6,0.42817386423
logit_sel_purse_seine_age_7,-0.430211383588
sel_purse_seine_age_7,0.394075856249
logit_sel_purse_seine_age_8,-0.367969205601
sel_purse_seine_age_8,0.40903182408
logit_sel_purse_seine_age_9,-1.28551129647
sel_purse_seine_age_9,0.216613539461
logit_sel_purse_seine_age_10,1.25424873923
sel_purse_seine_age_10,0.778034471669
