year,rec_dev
2001,0.0477274
2002,0.0523985
2003,0.0533189
2004,0.0543049
2005,0.0552169
2006,0.0556476
2007,0.0556699
2008,0.0542525
2009,0.0529566
2010,0.0534218
2011,0.0587704
2012,0.0507393
2013,0.00350999
2014,-0.0109792
2015,-0.0135004
2016,-0.0143947
2017,-0.0230127
2018,-0.0149083
2019,-0.0188848
2020,0
