section,year,fleet,age,observed,predicted,residual,abs_residual
age_residual,2001,longline,1,2e-08,0.000990927791554022,-0.000990907791554021,0.000990907791554021
age_residual,2001,longline,2,2.12e-06,0.00134416461044942,-0.00134204461044942,0.00134204461044942
age_residual,2001,longline,3,0.00012188,0.00185810301212598,-0.00173622301212598,0.00173622301212598
age_residual,2001,longline,4,0.00306002,0.00438442186134266,-0.00132440186134265,0.00132440186134265
age_residual,2001,longline,5,0.03361977,0.0313713421580171,0.00224842784198293,0.00224842784198293
age_residual,2001,longline,6,0.16163849,0.151838446994607,0.00980004300539256,0.00980004300539256
age_residual,2001,longline,7,0.34007423,0.331786318113531,0.00828791188646949,0.00828791188646949
age_residual,2001,longline,8,0.31309896,0.308856683704318,0.00424227629568208,0.00424227629568208
age_residual,2001,longline,9,0.12614454,0.137929658122158,-0.0117851181221581,0.0117851181221581
age_residual,2001,longline,10,0.02223997,0.0296399336318969,-0.00739996363189685,0.00739996363189685
age_residual,2001,purse_seine,1,0.19500212,0.189579570376387,0.00542254962361322,0.00542254962361322
age_residual,2001,purse_seine,2,0.42353396,0.42280360780473,0.000730352195269623,0.000730352195269623
age_residual,2001,purse_seine,3,0.30375569,0.291474511976929,0.0122811780230715,0.0122811780230715
age_residual,2001,purse_seine,4,0.07193626,0.080516795804588,-0.00858053580458801,0.00858053580458801
age_residual,2001,purse_seine,5,0.00562547,0.0101800982206182,-0.00455462822061824,0.00455462822061824
age_residual,2001,purse_seine,6,0.00014526,0.00308796114726036,-0.00294270114726036,0.00294270114726036
age_residual,2001,purse_seine,7,1.24e-06,0.00148072531788819,-0.00147948531788819,0.00147948531788819
age_residual,2001,purse_seine,8,0,0.000542407521817909,-0.000542407521817909,0.000542407521817909
age_residual,2001,purse_seine,9,0,0.00020115999201925,-0.00020115999201925,0.00020115999201925
age_residual,2001,purse_seine,10,0,0.000133161837762201,-0.000133161837762201,0.000133161837762201
age_residual,2002,longline,1,1.99999998e-08,0.000984431369818677,-0.000984411369818877,0.000984411369818877
age_residual,2002,longline,2,2.0499999795e-06,0.00134321927494257,-0.00134116927496307,0.00134116927496307
age_residual,2002,longline,3,0.0001184299988157,0.00183365490519131,-0.00171522490637561,0.00171522490637561
age_residual,2002,longline,4,0.0029929299700707,0.00433570943620007,-0.00134277946612937,0.00134277946612937
age_residual,2002,longline,5,0.0330979796690202,0.030751577989471,0.00234640167954923,0.00234640167954923
age_residual,2002,longline,6,0.160171418398286,0.152363641269872,0.00780777712841388,0.00780777712841388
age_residual,2002,longline,7,0.339193546608065,0.335440744864765,0.00375280174329917,0.00375280174329917
age_residual,2002,longline,8,0.314332336856677,0.310382801359015,0.00394953549766164,0.00394953549766164
age_residual,2002,longline,9,0.127470438725296,0.134604689503426,-0.00713425077813043,0.00713425077813043
age_residual,2002,longline,10,0.0226208497737915,0.0279595300272979,-0.0053386802535064,0.0053386802535064
age_residual,2002,purse_seine,1,0.194280648057194,0.18956007446236,0.00472057359483377,0.00472057359483377
age_residual,2002,purse_seine,2,0.423199145768009,0.425250705689236,-0.00205155992122713,0.00205155992122713
age_residual,2002,purse_seine,3,0.304401876955981,0.289507821454456,0.0148940555015257,0.0148940555015257
age_residual,2002,purse_seine,4,0.0722998092770019,0.0801394244366934,-0.0078396151596915,0.0078396151596915
age_residual,2002,purse_seine,5,0.0056704099432959,0.0100438027515053,-0.00437339280820937,0.00437339280820937
age_residual,2002,purse_seine,6,0.0001468499985315,0.00311876978179934,-0.00297191978326784,0.00297191978326784
age_residual,2002,purse_seine,7,1.2599999874e-06,0.0015067588227024,-0.001505498822715,0.001505498822715
age_residual,2002,purse_seine,8,0,0.000548628353215293,-0.000548628353215293,0.000548628353215293
age_residual,2002,purse_seine,9,0,0.000197585941525086,-0.000197585941525086,0.000197585941525086
age_residual,2002,purse_seine,10,0,0.000126428306508294,-0.000126428306508294,0.000126428306508294
age_residual,2003,longline,1,1e-08,0.000978117508973508,-0.000978107508973508,0.000978107508973508
age_residual,2003,longline,2,1.98e-06,0.00133369106920938,-0.00133171106920938,0.00133171106920938
age_residual,2003,longline,3,0.00011508,0.00183137362360982,-0.00171629362360982,0.00171629362360982
age_residual,2003,longline,4,0.00292717,0.0042763464155535,-0.0013491764155535,0.0013491764155535
age_residual,2003,longline,5,0.03258263,0.0303934593187967,0.00218917068120329,0.00218917068120329
age_residual,2003,longline,6,0.15870965,0.149272752801813,0.00943689719818691,0.00943689719818691
age_residual,2003,longline,7,0.33829803,0.336418829857672,0.00187920014232779,0.00187920014232779
age_residual,2003,longline,8,0.31555461,0.313631648960356,0.00192296103964446,0.00192296103964446
age_residual,2003,longline,9,0.12880376,0.135196586746206,-0.00639282674620573,0.00639282674620573
age_residual,2003,longline,10,0.02300708,0.0266671936978105,-0.00366011369781051,0.00366011369781051
age_residual,2003,purse_seine,1,0.19356058,0.189455412396701,0.0041051676032991,0.0041051676032991
age_residual,2003,purse_seine,2,0.42286186,0.424725100957953,-0.00186324095795348,0.00186324095795348
age_residual,2003,purse_seine,3,0.30504745,0.290853442989654,0.0141940070103461,0.0141940070103461
age_residual,2003,purse_seine,4,0.07266471,0.0795084863911348,-0.00684377639113476,0.00684377639113476
