Recruitment Diagnostics
=======================

Summary
-------
sigma_rec_dev:          0.35
n:                      20
mean_rec_dev:           0.0567884659943192
sd_rec_dev:             0.163892010372408
max_abs_rec_dev:        0.478843146629149
max_abs_year:           2019
lag1_correlation:       0.642626083142658
roughness:              0.13814599144903
total_rec_prior_nll:    2.34632582699609
interpretation:         Recruitment deviations are modest relative to the prior scale.

Interpretation notes
--------------------
Recruitment deviations should be checked for magnitude, persistence, and
roughness. Large persistent runs can indicate that recruitment is absorbing
misspecified fleet, selectivity, index, or catch processes rather than
representing biological recruitment variation.

Rows
----
index,year,rec_dev,recruitment_multiplier,prior_z,prior_nll
0,2001,0.125785507497749,1.1340388993531,0.359387164279284,0.0645795669243524
1,2002,0.118517697241739,1.12582679795469,0.338621992119255,0.0573324267734063
2,2003,0.11461989912654,1.12144709353041,0.327485426075828,0.0536233521460335
3,2004,0.113496912540908,1.12018843035109,0.324276892974023,0.0525777516584429
4,2005,0.115435285807528,1.12236187945535,0.329815102307222,0.0543890008549615
5,2006,0.120879656278046,1.12848909761709,0.345370446508704,0.0596403726608108
6,2007,0.130557635727022,1.1394636118147,0.373021816362921,0.0695726377413464
7,2008,0.145815961390768,1.15698323886978,0.416617032545051,0.0867848759033221
8,2009,0.16804420603364,1.18298890473926,0.480126302953256,0.115260633393781
9,2010,0.198236164624273,1.2192503036131,0.566389041783637,0.160398273326293
10,2011,0.236020316907664,1.26620003517475,0.674343762593325,0.227369755074261
11,2012,0.214511475077768,1.23925634145579,0.612889928793624,0.187817032408327
12,2013,0.102187806367374,1.10759146492566,0.291965161049639,0.0426218276333708
13,2014,-0.00748755499991207,0.992540406907729,-0.0213930142854631,0.000228830530109013
14,2015,-0.0232786443252678,0.976990213062982,-0.0665104123579079,0.00221181747600947
15,2016,-0.0210473081727858,0.979172640605248,-0.0601351662079595,0.00180811910742946
16,2017,-0.0338719159037798,0.966695315004011,-0.0967769025822281,0.00468288443670504
17,2018,-0.20381063470374,0.815616806082645,-0.582316099153543,0.169546019666699
18,2019,-0.478843146629149,0.619499647680409,-1.36812327608328,0.935880649280426
19,2020,0,1,0,0
