age,longline_selectivity,purse_seine_selectivity
1,1.01944e-06,1
2,1.75393e-05,1
3,0.000301681,0.85
4,0.00516521,0.55
5,0.082004,0.25
6,0.605822,0.1
7,0.963561,0.04
8,0.997807,0.02
9,0.999872,0.01
10,0.999993,0.005
