year,rec_dev,recruitment_multiplier
2001,0.513445554633,1.67103894314
2002,0.531606247392,1.70166340703
2003,0.540474882247,1.7168219569
2004,0.545746711335,1.72589664792
2005,0.548473332095,1.73060893494
2006,0.551088970733,1.73514150775
2007,0.55791113423,1.74701939718
2008,0.5720027004,1.77181190902
2009,0.593818618398,1.81089032825
2010,0.623358319789,1.86518141121
2011,0.659193298296,1.93323216351
2012,0.62822974976,1.87428967897
2013,0.49253890865,1.63646578718
2014,0.345482416653,1.41267125145
2015,0.309056685976,1.36213958253
2016,0.308179036303,1.36094462562
2017,0.283615542812,1.32792230333
2018,0.0740742560648,1.0768867679
2019,-0.287756433744,0.749944231104
2020,0,1
