year,rec_dev,recruitment_multiplier
2001,0.59451355311,1.81214921617
2002,0.611215723804,1.84267021566
2003,0.613713320972,1.84727821564
2004,0.611085812236,1.84243084703
2005,0.606513229323,1.83402541114
2006,0.603962825326,1.8293538651
2007,0.607159062163,1.83521026755
2008,0.618503814802,1.85614882086
2009,0.638581923622,1.89379343052
2010,0.666236746861,1.94689685159
2011,0.697416790705,2.00855747583
2012,0.658572326127,1.9320320528
2013,0.511913295647,1.66848043935
2014,0.353273790376,1.42372089115
2015,0.303223669617,1.35421732784
2016,0.285083046715,1.32987246508
2017,0.237235657436,1.2677398349
2018,0.0103289663498,1.01038249426
2019,-0.341469695981,0.710725005118
2020,0,1
