quantity,value,note
R0,1220.43,estimated unfished recruitment scale
Fbar,0.0171094,estimated fully selected fishing mortality proxy
q,4.54912e-05,catchability estimate
selectivity_a50,1.56986,estimated logistic selectivity age at 50 percent selected
selectivity_slope,1.24074,estimated logistic selectivity slope
SPR0_proxy,13.2039,unfished spawning output per recruit proxy
SPR_current_proxy,11.5331,spawning output per recruit proxy at estimated Fbar
SPR_ratio,0.87346,SPR_current_proxy divided by SPR0_proxy
F40_proxy,0.1405,Fbar value giving 40 percent SPR proxy under fitted selectivity
Fbar_over_F40_proxy,0.121775,estimated Fbar relative to F40 proxy
SSB0_proxy,16114.4,R0 multiplied by SPR0_proxy
SSB40_proxy,6445.75,40 percent of SSB0_proxy
terminal_biomass,16898.3,terminal deterministic total biomass from fitted trajectory
terminal_SSB_proxy,14132.5,terminal deterministic spawning biomass proxy from fitted trajectory
terminal_SSB_over_SSB0_proxy,0.877015,terminal SSB proxy relative to unfished SSB proxy
terminal_SSB_over_SSB40_proxy,2.19254,terminal SSB proxy relative to SSB40 proxy
